name,x.mni,y.mni,z.mni,lobe,hemi,index,network,
1,-7,-52,61,Parietal,L,1,Sensory/somatomotor Hand,1
2,-14,-18,40,Limbic,L,2,Sensory/somatomotor Hand,2
3,0,-15,47,Frontal,L,3,Sensory/somatomotor Hand,3
4,10,-2,45,Limbic,R,4,Sensory/somatomotor Hand,4
5,-7,-21,65,Frontal,L,5,Sensory/somatomotor Hand,5
6,-7,-33,72,Parietal,L,6,Sensory/somatomotor Hand,6
7,13,-33,75,Parietal,R,7,Sensory/somatomotor Hand,7
8,-54,-23,43,Parietal,L,8,Sensory/somatomotor Hand,8
9,29,-17,71,Frontal,R,9,Sensory/somatomotor Hand,9
10,10,-46,73,Parietal,R,10,Sensory/somatomotor Hand,10
11,-23,-30,72,Parietal,L,11,Sensory/somatomotor Hand,11
12,-40,-19,54,Parietal,L,12,Sensory/somatomotor Hand,12
13,29,-39,59,Parietal,R,13,Sensory/somatomotor Hand,13
14,50,-20,42,Parietal,R,14,Sensory/somatomotor Hand,14
15,-38,-27,69,undefined,?,15,Sensory/somatomotor Hand,15
16,20,-29,60,Frontal,R,16,Sensory/somatomotor Hand,16
17,44,-8,57,Frontal,R,17,Sensory/somatomotor Hand,17
18,-29,-43,61,Parietal,L,18,Sensory/somatomotor Hand,18
19,10,-17,74,Frontal,R,19,Sensory/somatomotor Hand,19
20,22,-42,69,Parietal,R,20,Sensory/somatomotor Hand,20
21,-45,-32,47,Parietal,L,21,Sensory/somatomotor Hand,21
22,-21,-31,61,Parietal,L,22,Sensory/somatomotor Hand,22
23,-13,-17,75,Frontal,L,23,Sensory/somatomotor Hand,23
24,42,-20,55,Parietal,R,24,Sensory/somatomotor Hand,24
25,-38,-15,69,undefined,?,25,Sensory/somatomotor Hand,25
26,-16,-46,73,Parietal,L,26,Sensory/somatomotor Hand,26
27,2,-28,60,Frontal,R,27,Sensory/somatomotor Hand,27
28,3,-17,58,Frontal,R,28,Sensory/somatomotor Hand,28
29,38,-17,45,Frontal,R,29,Sensory/somatomotor Hand,29
30,47,-30,49,Parietal,R,30,Sensory/somatomotor Hand,30
31,-49,-11,35,Frontal,L,31,Sensory/somatomotor Mouth,1
32,36,-9,14,Sub-lobar,R,32,Sensory/somatomotor Mouth,2
33,51,-6,32,Frontal,R,33,Sensory/somatomotor Mouth,3
34,-53,-10,24,Frontal,L,34,Sensory/somatomotor Mouth,4
35,66,-8,25,Frontal,R,35,Sensory/somatomotor Mouth,5
36,-3,2,53,Frontal,L,36,Cingulo-opercular Task Control,1
37,54,-28,34,Parietal,R,37,Cingulo-opercular Task Control,2
38,19,-8,64,Frontal,R,38,Cingulo-opercular Task Control,3
39,-16,-5,71,Frontal,L,39,Cingulo-opercular Task Control,4
40,-10,-2,42,Limbic,L,40,Cingulo-opercular Task Control,5
41,37,1,-4,Sub-lobar,R,41,Cingulo-opercular Task Control,6
42,13,-1,70,Frontal,R,42,Cingulo-opercular Task Control,7
43,7,8,51,Frontal,R,43,Cingulo-opercular Task Control,8
44,-45,0,9,Frontal,L,44,Cingulo-opercular Task Control,9
45,49,8,-1,Temporal,R,45,Cingulo-opercular Task Control,10
46,-34,3,4,Sub-lobar,L,46,Cingulo-opercular Task Control,11
47,-51,8,-2,Temporal,L,47,Cingulo-opercular Task Control,12
48,-5,18,34,Limbic,L,48,Cingulo-opercular Task Control,13
49,36,10,1,Sub-lobar,R,49,Cingulo-opercular Task Control,14
50,32,-26,13,Sub-lobar,R,50,Auditory,1
51,65,-33,20,Temporal,R,51,Auditory,2
52,58,-16,7,Temporal,R,52,Auditory,3
53,-38,-33,17,Sub-lobar,L,53,Auditory,4
54,-60,-25,14,Temporal,L,54,Auditory,5
55,-49,-26,5,Temporal,L,55,Auditory,6
56,43,-23,20,Sub-lobar,R,56,Auditory,7
57,-50,-34,26,Parietal,L,57,Auditory,8
58,-53,-22,23,Parietal,L,58,Auditory,9
59,-55,-9,12,Frontal,L,59,Auditory,10
60,56,-5,13,Frontal,R,60,Auditory,11
61,59,-17,29,Parietal,R,61,Auditory,12
62,-30,-27,12,Sub-lobar,L,62,Auditory,13
63,-41,-75,26,Temporal,L,63,Default mode,1
64,6,67,-4,undefined,I,64,Default mode,2
65,8,48,-15,Frontal,R,65,Default mode,3
66,-13,-40,1,Limbic,L,66,Default mode,4
67,-18,63,-9,Frontal,L,67,Default mode,5
68,-46,-61,21,Temporal,L,68,Default mode,6
69,43,-72,28,Temporal,R,69,Default mode,7
70,-44,12,-34,Temporal,L,70,Default mode,8
71,46,16,-30,Temporal,R,71,Default mode,9
72,-68,-23,-16,undefined,?,72,Default mode,10
73,-44,-65,35,Parietal,L,73,Default mode,11
74,-39,-75,44,undefined,?,74,Default mode,12
75,-7,-55,27,Limbic,L,75,Default mode,13
76,6,-59,35,Parietal,R,76,Default mode,14
77,-11,-56,16,Limbic,L,77,Default mode,15
78,-3,-49,13,Limbic,L,78,Default mode,16
79,8,-48,31,Limbic,R,79,Default mode,17
80,15,-63,26,Occipital,R,80,Default mode,18
81,-2,-37,44,Limbic,L,81,Default mode,19
82,11,-54,17,Limbic,R,82,Default mode,20
83,52,-59,36,Parietal,R,83,Default mode,21
84,23,33,48,Frontal,R,84,Default mode,22
85,-10,39,52,Frontal,L,85,Default mode,23
86,-16,29,53,Frontal,L,86,Default mode,24
87,-35,20,51,Frontal,L,87,Default mode,25
88,22,39,39,Frontal,R,88,Default mode,26
89,13,55,38,Frontal,R,89,Default mode,27
90,-10,55,39,Frontal,L,90,Default mode,28
91,-20,45,39,Frontal,L,91,Default mode,29
92,6,54,16,Frontal,R,92,Default mode,30
93,6,64,22,Frontal,R,93,Default mode,31
94,-7,51,-1,Frontal,L,94,Default mode,32
95,9,54,3,Frontal,R,95,Default mode,33
96,-3,44,-9,Frontal,L,96,Default mode,34
97,8,42,-5,Frontal,R,97,Default mode,35
98,-11,45,8,Frontal,L,98,Default mode,36
99,-2,38,36,Frontal,L,99,Default mode,37
100,-3,42,16,Limbic,L,100,Default mode,38
101,-20,64,19,Frontal,L,101,Default mode,39
102,-8,48,23,Frontal,L,102,Default mode,40
103,65,-12,-19,Temporal,R,103,Default mode,41
104,-56,-13,-10,Temporal,L,104,Default mode,42
105,-58,-30,-4,Temporal,L,105,Default mode,43
106,65,-31,-9,Temporal,R,106,Default mode,44
107,-68,-41,-5,undefined,?,107,Default mode,45
108,13,30,59,Frontal,R,108,Default mode,46
109,12,36,20,Limbic,R,109,Default mode,47
110,52,-2,-16,Temporal,R,110,Default mode,48
111,-26,-40,-8,Limbic,L,111,Default mode,49
112,27,-37,-13,Limbic,R,112,Default mode,50
113,-34,-38,-16,Temporal,L,113,Default mode,51
114,28,-77,-32,Cerebellum Posterior Lobe,R,114,Default mode,52
115,52,7,-30,Temporal,R,115,Default mode,53
116,-53,3,-27,Temporal,L,116,Default mode,54
117,47,-50,29,Parietal,R,117,Default mode,55
118,-49,-42,1,Temporal,L,118,Default mode,56
119,-46,31,-13,Frontal,L,119,Default mode,57
120,49,35,-12,Frontal,R,120,Default mode,58
121,-2,-35,31,Limbic,L,121,Memory retrieval?,1
122,-7,-71,42,Parietal,L,122,Memory retrieval?,2
123,11,-66,42,Parietal,R,123,Memory retrieval?,3
124,4,-48,51,Parietal,R,124,Memory retrieval?,4
125,2,-24,30,Limbic,R,125,Memory retrieval?,5
126,18,-47,-10,Limbic,R,126,Visual,1
127,40,-72,14,Occipital,R,127,Visual,2
128,8,-72,11,Occipital,R,128,Visual,3
129,-8,-81,7,Occipital,L,129,Visual,4
130,-28,-79,19,Temporal,L,130,Visual,5
131,20,-66,2,Occipital,R,131,Visual,6
132,-24,-91,19,Occipital,L,132,Visual,7
133,27,-59,-9,Occipital,R,133,Visual,8
134,-15,-72,-8,Occipital,L,134,Visual,9
135,-18,-68,5,Occipital,L,135,Visual,10
136,43,-78,-12,Occipital,R,136,Visual,11
137,-47,-76,-10,Occipital,L,137,Visual,12
138,-14,-91,31,Occipital,L,138,Visual,13
139,15,-87,37,Parietal,R,139,Visual,14
140,29,-77,25,Occipital,R,140,Visual,15
141,20,-86,-2,Occipital,R,141,Visual,16
142,15,-77,31,Occipital,R,142,Visual,17
143,-16,-52,-1,Occipital,L,143,Visual,18
144,42,-66,-8,Occipital,R,144,Visual,19
145,24,-87,24,Occipital,R,145,Visual,20
146,6,-72,24,Occipital,R,146,Visual,21
147,-42,-74,0,Occipital,L,147,Visual,22
148,26,-79,-16,Occipital,R,148,Visual,23
149,-16,-77,34,Parietal,L,149,Visual,24
150,-3,-81,21,Occipital,L,150,Visual,25
151,-40,-88,-6,Occipital,L,151,Visual,26
152,37,-84,13,Occipital,R,152,Visual,27
153,6,-81,6,Occipital,R,153,Visual,28
154,-26,-90,3,Occipital,L,154,Visual,29
155,-33,-79,-13,Occipital,L,155,Visual,30
156,37,-81,1,Occipital,R,156,Visual,31
157,-44,2,46,Frontal,L,157,Fronto-parietal Task Control,1
158,48,25,27,Frontal,R,158,Fronto-parietal Task Control,2
159,-47,11,23,Frontal,L,159,Fronto-parietal Task Control,3
160,-53,-49,43,Parietal,L,160,Fronto-parietal Task Control,4
161,-23,11,64,Frontal,L,161,Fronto-parietal Task Control,5
162,58,-53,-14,Temporal,R,162,Fronto-parietal Task Control,6
163,24,45,-15,Frontal,R,163,Fronto-parietal Task Control,7
164,34,54,-13,Frontal,R,164,Fronto-parietal Task Control,8
165,47,10,33,Frontal,R,165,Fronto-parietal Task Control,9
166,-41,6,33,Frontal,L,166,Fronto-parietal Task Control,10
167,-42,38,21,Frontal,L,167,Fronto-parietal Task Control,11
168,38,43,15,Frontal,R,168,Fronto-parietal Task Control,12
169,49,-42,45,Parietal,R,169,Fronto-parietal Task Control,13
170,-28,-58,48,Parietal,L,170,Fronto-parietal Task Control,14
171,44,-53,47,Parietal,R,171,Fronto-parietal Task Control,15
172,32,14,56,Frontal,R,172,Fronto-parietal Task Control,16
173,37,-65,40,Parietal,R,173,Fronto-parietal Task Control,17
174,-42,-55,45,Parietal,L,174,Fronto-parietal Task Control,18
175,40,18,40,Frontal,R,175,Fronto-parietal Task Control,19
176,-34,55,4,Frontal,L,176,Fronto-parietal Task Control,20
177,-42,45,-2,Frontal,L,177,Fronto-parietal Task Control,21
178,33,-53,44,Parietal,R,178,Fronto-parietal Task Control,22
179,43,49,-2,Frontal,R,179,Fronto-parietal Task Control,23
180,-42,25,30,Frontal,L,180,Fronto-parietal Task Control,24
181,-3,26,44,Frontal,L,181,Fronto-parietal Task Control,25
182,11,-39,50,Frontal,R,182,Salience,1
183,55,-45,37,Parietal,R,183,Salience,2
184,42,0,47,Frontal,R,184,Salience,3
185,31,33,26,Frontal,R,185,Salience,4
186,48,22,10,Frontal,R,186,Salience,5
187,-35,20,0,Sub-lobar,L,187,Salience,6
188,36,22,3,Sub-lobar,R,188,Salience,7
189,37,32,-2,Frontal,R,189,Salience,8
190,34,16,-8,Sub-lobar,R,190,Salience,9
191,-11,26,25,Limbic,L,191,Salience,10
192,-1,15,44,Limbic,L,192,Salience,11
193,-28,52,21,Frontal,L,193,Salience,12
194,0,30,27,undefined,I,194,Salience,13
195,5,23,37,Frontal,R,195,Salience,14
196,10,22,27,Limbic,R,196,Salience,15
197,31,56,14,Frontal,R,197,Salience,16
198,26,50,27,Frontal,R,198,Salience,17
199,-39,51,17,Frontal,L,199,Salience,18
200,6,-24,0,Sub-lobar,R,200,Subcortical,1
201,-2,-13,12,Sub-lobar,L,201,Subcortical,2
202,-10,-18,7,Sub-lobar,L,202,Subcortical,3
203,12,-17,8,Sub-lobar,R,203,Subcortical,4
204,-5,-28,-4,Midbrain,‘B’,204,Subcortical,5
205,-22,7,-5,Sub-lobar,L,205,Subcortical,6
206,-15,4,8,Sub-lobar,L,206,Subcortical,7
207,31,-14,2,Sub-lobar,R,207,Subcortical,8
208,23,10,1,Sub-lobar,R,208,Subcortical,9
209,29,1,4,Sub-lobar,R,209,Subcortical,10
210,-31,-11,0,Sub-lobar,L,210,Subcortical,11
211,15,5,7,Sub-lobar,R,211,Subcortical,12
212,9,-4,6,Sub-lobar,R,212,Subcortical,13
