net,metric,stat_gr,df_gr,ges_gr,p_gr,stat_st,df_st,ges_st,p_st,stat_int,df_int,ges_int,p_int,p_gr_fdr,p_st_fdr,p_int_fdr,p_gr_bonf,p_st_bonf,p_int_bonf
CON,EG,27.837484809251,"1, 25",0.412760414667673,1.8271883570507E-05,6.94393785125097,"1, 25",0.092910113881969,0.014234222634134,769.852965814201,"1, 25",0.919065817540468,2.66509066716611E-20,6.39515924967746E-05,0.025389556657145,1.49245077361302E-18,0.001023225479948,0.797116467511519,1.49245077361302E-18
CON,EL,5.18443192828773,"1, 25",0.092826768835554,0.031610919349273,28.3093735257329,"1, 25",0.364527391124826,1.62931986676811E-05,193.670473645032,"1, 25",0.796927048953756,2.81715604064061E-13,0.050577470958837,5.06899514105634E-05,3.94401845689686E-12,1,0.00091241912539,1.57760738275874E-11
CON,D,14.34341073191,"1, 25",0.260644046838054,0.000853815467686,45.3488468352127,"1, 25",0.411550814191538,4.66688512569866E-07,575.357621814931,"1, 25",0.898716941607751,8.93907843489485E-19,0.001992236091266,2.01035051568558E-06,2.50294196177056E-17,0.047813666190388,2.61345567039125E-05,5.00588392354111E-17
CON,S,3.65273135160866,"1, 25",0.064075092834335,0.067507597835725,5.33292502651414,"1, 25",0.101821120191713,0.029472318928318,76.4715603631077,"1, 25",0.619132401710268,4.46556953542319E-09,0.102173661589205,0.047155710285308,3.12589867479623E-08,1,1,2.50071893983699E-07
CON,CP,30.7173717071409,"1, 25",0.414495620625786,9.22600966475926E-06,11.7860827176173,"1, 25",0.166538087430898,0.002087297216659,59.5957582755821,"1, 25",0.502575234280951,4.47266106233879E-08,3.97428108635783E-05,0.004329209041959,2.50469019490972E-07,0.000516656541227,0.116888644132901,2.50469019490972E-06
CON,LP,70.626201659228,"1, 25",0.561834231381411,9.46109092677355E-09,18.5250431926363,"1, 25",0.288090865360307,0.000226202015779,17.1452695773735,"1, 25",0.272480144966548,0.000344952077636,6.58671479482232E-08,0.000506692515345,0.000839883319461,5.29821091899319E-07,0.012667312883635,0.019317316347592
CON,Sigma,0.0959462775292,"1, 25",0.002714804639492,0.759316809748567,7.63348647991095,"1, 25",0.08152529996128,0.010591160043005,0.228487606351803,"1, 25",0.002649796945991,0.636800833562235,0.802297006526788,0.019770165413609,0.742934305822607,1,0.59310496240827,1
DAN,EG,43.3894329294084,"1, 25",0.427239372663764,6.69063788059209E-07,0.006363246304902,"1, 25",0.00014511494955,0.937055342210011,3.82696598915553,"1, 25",0.080279884022242,0.061694406445571,3.12229767760964E-06,0.954092712068375,0.093375317863567,3.74675721313157E-05,1,1
DAN,EL,2.9430088574177,"1, 25",0.055514138843572,0.098620137186376,4.94321884887373,"1, 25",0.09008513755418,0.03546310729182,0.15934935639664,"1, 25",0.003181332229876,0.693145881869473,0.134700675181391,0.052261421272156,0.761101360484127,1,1,1
DAN,D,13.934233591577,"1, 25",0.191046120393951,0.000980590817182,19.7834237254166,"1, 25",0.313204506646445,0.000155894922995,1.20539319898527,"1, 25",0.02703492087162,0.2827085892063,0.002196523430489,0.000363754820322,0.386138560867141,0.054913085762218,0.008730115687739,1
DAN,S,1.6022543680776,"1, 25",0.036513058320711,0.217253541370601,1.44579825338541,"1, 25",0.023089924379879,0.240468726497311,0.057763994252613,"1, 25",0.000943425312353,0.812025517617931,0.270359962594526,0.286515929443604,0.842100536788965,1,1,1
DAN,CP,12.3233380822,"1, 25",0.18888522691846,0.001719763313655,6.90014529172377,"1, 25",0.127106729795053,0.014508318089797,0.230642528170066,"1, 25",0.004843729018117,0.635223434834574,0.003566916502396,0.025389556657145,0.742934305822607,0.096306745564691,0.812465813028638,1
DAN,LP,30.1092105353859,"1, 25",0.375460599373233,1.06247844172139E-05,4.49944791146404,"1, 25",0.082685806523121,0.043998262701304,0.180872895354864,"1, 25",0.003610408126574,0.674262730971741,4.24991376688557E-05,0.061597567781825,0.761101360484127,0.000594987927364,1,1
