net,metric,stat_gr,df_gr,ges_gr,p_gr,stat_st,df_st,ges_st,p_st,stat_int,df_int,ges_int,p_int,p_gr_fdr,p_st_fdr,p_int_fdr,p_gr_bonf,p_st_bonf,p_int_bonf
CON,EG,27.84,"1, 25",0.413,0,6.94,"1, 25",0.093,0.014,769.85,"1, 25",0.919,0,6.4E-05,0.0254,1.49E-18,0.001,0.8,1.5E-18
CON,D,14.34,"1, 25",0.261,0.001,45.35,"1, 25",0.412,0,575.36,"1, 25",0.899,0,0.00199,2.01E-06,2.5E-17,0.048,2.6E-05,5E-17
CON,EL,5.18,"1, 25",0.093,0.032,28.31,"1, 25",0.365,0,193.67,"1, 25",0.797,0,0.0506,5.07E-05,3.94E-12,1,0.00091,1.6E-11
CON,S,3.65,"1, 25",0.064,0.068,5.33,"1, 25",0.102,0.029,76.47,"1, 25",0.619,0,0.102,0.0472,3.13E-08,1,1,2.5E-07
CON,CP,30.72,"1, 25",0.414,0,11.79,"1, 25",0.167,0.002,59.6,"1, 25",0.503,0,3.97E-05,0.00433,2.5E-07,0.00052,0.12,2.5E-06
CON,LP,70.63,"1, 25",0.562,0,18.53,"1, 25",0.288,0,17.15,"1, 25",0.272,0,6.59E-08,0.000507,0.00084,5.3E-07,0.013,0.019
DMN,Sigma,4.98,"1, 25",0.07,0.035,22.94,"1, 25",0.364,0,78.71,"1, 25",0.663,0,0.0543,0.000164,2.71E-08,1,0.0036,1.9E-07
DMN,LP,12.94,"1, 25",0.171,0.001,74.07,"1, 25",0.641,0,58.22,"1, 25",0.584,0,0.00298,3.39E-08,2.8E-07,0.078,3.4E-07,3.1E-06
DMN,EL,24.79,"1, 25",0.335,0,109.04,"1, 25",0.682,0,22.63,"1, 25",0.308,0,0.000123,9.82E-10,0.000206,0.0022,7.4E-09,0.0039
DMN,D,22.36,"1, 25",0.284,0,266.1,"1, 25",0.855,0,6.23,"1, 25",0.122,0.02,0.000211,1.09E-13, ,0.0042,4.4E-13,1
FPN,EG,3.08,"1, 25",0.072,0.091,0.04,"1, 25",0.001,0.841,29.05,"1, 25",0.301,0,0.128,0.889,5.46E-05,1,1,0.00076
FPN,Sigma,202.49,"1, 25",0.811,0,5.77,"1, 25",0.098,0.024,19.81,"1, 25",0.272,0,2.4E-12,0.0396,0.000412,9.6E-12,1,0.0087
FPN,LP,0,"1, 25",0,0.95,9.64,"1, 25",0.175,0.005,8.01,"1, 25",0.149,0.009,0.967,0.00905,0.0188,1,0.26,0.51
SAL,EG,2.56,"1, 25",0.065,0.122,28.93,"1, 25",0.273,0,14.1,"1, 25",0.155,0.001,0.163,4.62E-05,0.00207,1,0.00079,0.052
SAL,Sigma,0.1,"1, 25",0.002,0.751,1.31,"1, 25",0.021,0.263,9.2,"1, 25",0.131,0.006,0.802,0.295,0.012,1,1,0.31
SAL,EL,144.4,"1, 25",0.718,0,108.47,"1, 25",0.708,0,5.74,"1, 25",0.114,0.024,7.28E-11,9.82E-10,0.0431,3.9E-10,7.9E-09,1
SAL,CP,59.42,"1, 25",0.482,0,130.29,"1, 25",0.76,0,5.33,"1, 25",0.115,0.03,2.57E-07,1.94E-10,0.0486,2.6E-06,1.2E-09,1
SUB,D,0.26,"1, 25",0.006,0.613,14,"1, 25",0.207,0.001,209.28,"1, 25",0.795,0,0.686,0.00206,2.21E-12,1,0.054,6.6E-12
SUB,EL,7.86,"1, 25",0.144,0.01,4.64,"1, 25",0.079,0.041,81.59,"1, 25",0.603,0,0.018,0.0591,2.24E-08,0.54,1,1.3E-07
SUB,EG,0.07,"1, 25",0.001,0.791,0.67,"1, 25",0.013,0.421,71.96,"1, 25",0.592,0,0.821,0.462,4.94E-08,1,1,4.4E-07
SUB,Sigma,5.28,"1, 25",0.096,0.03,3.24,"1, 25",0.061,0.084,27.43,"1, 25",0.354,0,0.0497,0.11,7.54E-05,1,1,0.0011
SUB,S,0.15,"1, 25",0.003,0.704,1.34,"1, 25",0.025,0.258,17.89,"1, 25",0.257,0,0.773,0.294,0.000697,1,1,0.015
SUB,CP,8.53,"1, 25",0.133,0.007,3.86,"1, 25",0.078,0.061,6.48,"1, 25",0.125,0.017,0.0141,0.0829,0.0337,0.41,1,0.98
SUB,LP,19.08,"1, 25",0.261,0,0.29,"1, 25",0.006,0.594,5.41,"1, 25",0.104,0.028,0.000488,0.64,0.0482,0.011,1,1
VAN,EG,0.97,"1, 25",0.025,0.334,37.42,"1, 25",0.331,0,174.28,"1, 25",0.697,0,0.398,8.03E-06,1.01E-11,1,0.00012,5.1E-11
VAN,D,1.16,"1, 25",0.023,0.292,23.44,"1, 25",0.312,0,46.99,"1, 25",0.476,0,0.355,0.00015,1.62E-06,1,0.0031,1.9E-05
VAN,LP,6.28,"1, 25",0.097,0.019,0,"1, 25",0,0.985,26.35,"1, 25",0.377,0,0.0335,0.985,9.24E-05,1,1,0.0015
VAN,EL,3.41,"1, 25",0.051,0.077,1.41,"1, 25",0.033,0.246,23.77,"1, 25",0.365,0,0.11,0.287,0.000169,1,1,0.0029
VAN,CP,15.86,"1, 25",0.194,0.001,4.99,"1, 25",0.11,0.035,20.1,"1, 25",0.333,0,0.00126,0.0523,0.000398,0.029,1,0.008
VAN,S,0,"1, 25",0,0.967,1.54,"1, 25",0.023,0.226,5.72,"1, 25",0.08,0.025,0.967,0.275,0.0431,1,1,1
WB,EG,789.41,"1, 25",0.95,0,1.99,"1, 25",0.031,0.171,36.16,"1, 25",0.366,0,1.1E-18,0.212,1.2E-05,1.1E-18,1,0.00016
WB,CP,69.78,"1, 25",0.61,0,0.01,"1, 25",0,0.905,22.78,"1, 25",0.286,0,6.59E-08,0.939,0.000206,5.9E-07,1,0.0038
WB,Sigma,58.78,"1, 25",0.564,0,602.82,"1, 25",0.916,0,15.33,"1, 25",0.217,0.001,2.58E-07,2.86E-17,0.00144,2.8E-06,2.9E-17,0.035
WB,EL,19.16,"1, 25",0.299,0,25.74,"1, 25",0.313,0,7.17,"1, 25",0.113,0.013,0.000488,9.08E-05,0.0258,0.01,0.0017,0.72
