Network,Metric,r,p,Stat,Df,confInt1,confInt2
CON,E.global,-0.21211219078036156,0.5080779421282836,-0.6863759053656499,10,-0.7007147318917746,0.41193489040195985
CON,E.local,-0.048427298816780005,0.8811953162981412,-0.153320454537505,10,-0.605500539010503,0.5404960576319209
CON,density,-0.11487424979213859,0.7222169656859645,-0.3656850940140467,10,-0.6461757497918551,0.4914253277944703
CON,strength,-0.0026080532104916527,0.9935818022607518,-0.008247416453338194,10,-0.5756480598039375,0.5721499383495234
CON,Cp,0.06750730751476401,0.834874070017628,0.21396495163613372,10,-0.5268040430238486,0.6174859426995706
CON,Lp,-0.3861278709778342,0.2150636005607122,-1.3237029734468961,10,-0.7858791355838962,0.24123022044397027
CON,sigma,0.5345782339898818,0.07335232705063788,2.000292055500956,10,-0.056726943359596646,0.8482429038839403
DAN,E.global,0.4062914354306451,0.19000116436628142,1.4060907287863529,10,-0.21857578381403237,0.7948555428473707
DAN,E.local,0.26068201454435147,0.4131626719168239,0.8538717676429904,10,-0.3683228476817978,0.725973729441854
DAN,density,0.3705203350277286,0.23576961634299975,1.261474435443945,10,-0.2583085948939578,0.778813352301131
DAN,strength,0.29711178116967757,0.34833123073328043,0.9839840050869595,10,-0.3336879457216605,0.7441296671159692
DAN,Cp,0.3329997353583623,0.2902043921326663,1.1167754380050474,10,-0.29781751489371433,0.7613923548922465
DAN,Lp,-0.062154660704333564,0.8478264109660035,-0.19693105532334038,10,-0.6141491712643538,0.5306765388442191
DAN,sigma,-0.1679512754402944,0.6018379891459298,-0.538761513197083,10,-0.6766338421985392,0.44925268897234594
DMN,E.global,-0.013408173339945985,0.9670112316258717,-0.04240417888072632,10,-0.5828249683286579,0.5648398708660174
DMN,E.local,-0.17381424612589955,0.5890226077938183,-0.5581447320144263,10,-0.679894807980943,0.4444191977655668
DMN,density,-0.013320371325801236,0.9672271525684176,-0.04212645013082837,10,-0.5827669780120172,0.5648996678816415
DMN,strength,0.07408087474296532,0.8190190311402237,0.23490977164833377,10,-0.5220142478641661,0.6215569162909615
DMN,Cp,0.03859038206309586,0.9052198007959935,0.12212447193195648,10,-0.5474353304669227,0.5992210020070663
DMN,Lp,-0.5912447330265428,0.04289777571031681,-2.318286544176155,10,-0.8699560684717919,-0.026250255960628674
DMN,sigma,0.5173909381923996,0.08493356848969509,1.9119315455629295,10,-0.08037720151285478,0.8414419408601471
FPN,E.global,0.31839518927397664,0.313154016207956,1.0621292496653263,10,-0.3126330961897153,0.7544398821736262
FPN,E.local,0.271603685148067,0.39312918616052406,0.8924335717974407,10,-0.35811935436631837,0.7314858304431284
FPN,density,0.24763563229372854,0.43774204677596495,0.8082675460740582,10,-0.38031590707978075,0.7193099986033198
FPN,strength,0.042359452585584975,0.8960050287390984,0.13407268948448353,10,-0.5447859983029005,0.6016352220882396
FPN,Cp,0.1533166094314766,0.6342751857706213,0.49063035353120804,10,-0.4611620322607725,0.668406077947319
FPN,Lp,-0.11870287882096062,0.7132986166266218,-0.37804430333433947,10,-0.6484309334059332,0.4884755352035316
FPN,sigma,-0.29485686627723434,0.352176782916388,-0.9758020425680338,10,-0.7430247095381813,0.3358823738399687
SAL,E.global,-0.3247116856162549,0.30310840539439465,-1.0856569508136338,10,-0.7574588969897711,0.30626278604811513
SAL,E.local,-0.27769912513838124,0.3821680521608314,-0.9141156460216728,10,-0.7345362481358165,0.3523585744876367
SAL,density,-0.41497133524399044,0.17979599232527146,-1.442300334872406,10,-0.7986679963096945,0.20861173361664945
SAL,strength,-0.5532796942509663,0.062035500282104,-2.100400206232952,10,-0.8555273331087048,0.03021651601837436
SAL,Cp,-0.4496121721485461,0.142522795852565,-1.5917605475467826,10,-0.8135825252498169,0.16751347489755078
SAL,Lp,0.25718841161008327,0.41967612493617323,0.8416119172314704,10,-0.3715550439658876,0.7241978184535068
SAL,sigma,-0.2632938755039469,0.4083262442670781,-0.8630608597504822,10,-0.7272973810950708,0.3658964434232087
SUB,E.global,0.0824187931257199,0.7989983444277688,0.2615208587997112,10,-0.5158842947781619,0.6266783495798504
SUB,E.local,-0.19572320986399974,0.5421063472515248,-0.6311378585540701,10,-0.691905897332651,0.42603292461674114
SUB,density,0.0776325777847871,0.8104779972776047,0.24623890624374767,10,-0.519410578665709,0.6237442299950164
SUB,strength,-0.23551703654804132,0.46118864863438414,-0.7663268691177806,10,-0.7130414045847976,0.39127005250461344
SUB,Cp,-0.2692439037212747,0.39741515518193815,-0.8840709335134069,10,-0.730299931855902,0.36033677596554337
SUB,Lp,0.07976598604326043,0.8053566866887433,0.253048505105672,10,-0.5178412802181591,0.625053988830184
SUB,sigma,-0.31916599022935643,0.31191840727526815,-1.0649917988654618,10,-0.7548092830380958,0.3118587572690923
VAN,E.global,-0.21377536216055248,0.504678379872,-0.6920144569233789,10,-0.7016004126847656,0.4104873118770064
VAN,E.local,0.10432467007034421,0.7469528380135705,0.3317136374345425,10,-0.49948198044791353,0.6399133339757939
VAN,density,-0.11388806691690337,0.7245193633842846,-0.36250429226418307,10,-0.6455933502177009,0.49218289256724174
VAN,strength,0.041244484744974635,0.8987297654234324,0.1305375892100074,10,-0.5455709474358992,0.6009221092818384
VAN,Cp,0.09395855722081768,0.7834830142718849,0.28312819985620213,9,-0.5361348335078376,0.6568133436483401
VAN,Lp,-0.11389073524528211,0.7245131309189656,-0.3625128971333392,10,-0.6455949268590061,0.49218084405183704
VAN,sigma,-0.88101597657348385,0.1189840234265161,-2.6336509450866545,2,-0.9974928615597772,0.5224291267388419
WB,E.global,-0.2215934946763818,0.4888344101553398,-0.7186053109754508,10,-0.7057436675858824,0.4036402033951055
WB,E.local,-0.31116795323485985,0.32487058751033615,-1.03540206877245,10,-0.7509627914983936,0.3198529340588544
WB,density,-0.14535019726636283,0.6521885385706185,-0.4645713031722542,10,-0.6638736558936655,0.46755316831238986
WB,strength,-0.1542577064316688,0.6321706509700235,-0.49371514971738345,10,-0.6689389925110844,0.46040279303483866
WB,Cp,-0.0994114044398039,0.758549859723662,-0.31593145600720723,10,-0.636972247792722,0.5031989002788915
WB,Lp,0.10365021506113578,0.7485419936238374,0.3295457553005874,10,-0.4999935301016486,0.6395105314636615
WB,sigma,0.2683814777845426,0.3989874245989491,0.8810189468516775,10,-0.36114540239953025,0.729865828696556
