Network,Metric,r,p,Stat,Df,confInt1,confInt2
CON,E.global,0.21114146199445405,0.34556516202170795,0.9660320185114202,20,-0.23103334799376093,0.5810274155002695
CON,E.local,-0.22683913226454705,0.3100218760001669,-1.041607822143232,20,-0.5918451138363855,0.2153663716626815
CON,density,0.040507861366525726,0.8579526216998032,0.18130547523181823,20,-0.38772228366602585,0.4543565988208258
CON,strength,0.008511612494271101,0.9700120973477768,0.038066467206719884,20,-0.4145845992880053,0.42858206360407947
CON,Cp,-0.28645137894626793,0.1962066725410703,-1.3370801489173358,20,-0.6317617557865227,0.15372214012949514
CON,Lp,0.3986463473173491,0.0661057183030446,1.9439444598075122,20,-0.0276010880417757,0.7022292509022882
CON,sigma,-0.10465955896810844,0.6429925731586631,-0.4706364613508055,20,-0.5040276091070878,0.3315799715621283
DAN,E.global,-0.4132998467730479,0.05589165114645376,-2.0298081192041013,20,-0.7110136609065869,0.010061891863093886
DAN,E.local,0.28984651594020194,0.1907228334331858,1.354371959526268,20,-0.15010502623069863,0.6339813402718544
DAN,density,0.1547228326277584,0.4917607526921616,0.700375523284424,20,-0.2855101411518899,0.5410380408413983
DAN,strength,0.1993160998737115,0.37385520558266006,0.9096199953205518,20,-0.24268607084453256,0.572790999462477
DAN,Cp,0.3432742000563801,0.11779926757719335,1.634488185682672,20,-0.09158979004940546,0.6681789150705097
DAN,Lp,-0.5804182651448493,0.004625388652780825,-3.187584903421539,20,-0.8050287385641006,-0.21026315609760254
DAN,sigma,0.2492819576577932,0.2632418439428607,1.151163957922702,20,-0.19256494539046246,0.6070860388453949
DMN,E.global,0.3124494985973752,0.15686099738827824,1.4709612350107788,20,-0.12572024568671072,0.648615015282425
DMN,E.local,0.18077600328592694,0.42077012328068863,0.8219978592633723,20,-0.26070231078152134,0.5597241296910933
DMN,density,0.3178236198276469,0.14947315567972796,1.4990778417159767,20,-0.1198435129573818,0.6520581506548518
DMN,strength,0.41341020586255495,0.05581962729373136,2.0304618262644665,20,-0.009928804109034576,0.7110794677679181
DMN,Cp,0.18913384526455634,0.3992391479517573,0.8613790268817942,20,-0.252618509346735,0.5656380709683875
DMN,Lp,-0.30724438610835836,0.16425635674337233,-1.443878117268176,20,-0.645266993186422,0.13138299757890518
DMN,sigma,-0.15898407350149527,0.47976040531914577,-0.7201579743712626,20,-0.5441206424285948,0.28149254514538224
FPN,E.global,0.06409661039075842,0.7768839708258721,0.2872394068661174,20,-0.3674414539411176,0.47292488998494414
FPN,E.local,0.007183859248739094,0.9746884225158796,0.03212802428150595,20,-0.4156836000250716,0.4274975120256103
FPN,density,0.37048616772857496,0.08963764100273301,1.7838035707297402,20,-0.06058578462295255,0.6850843691602189
FPN,strength,0.33031457140220033,0.13325540773515074,1.5650568997857308,20,-0.10606482504910678,0.6600080450318103
FPN,Cp,-0.14097748097121823,0.5314574675614123,-0.6368306143768354,20,-0.531023336202157,0.29836497337517903
FPN,Lp,-0.13761325574506642,0.5413960712655881,-0.6213365612185608,20,-0.528555488743097,0.30148714708685465
FPN,sigma,-0.4305096361439428,0.0454943052430094,-2.133090545605739,20,-0.7212132000070661,-0.010875088517279016
SAL,E.global,0.24678257438531928,0.268215626255291,1.1388694597333864,20,-0.19512809578042706,0.60540163415192
SAL,E.local,0.2078180565118513,0.35338531695096664,0.9501344135036707,20,-0.2343211009758211,0.5787202780074978
SAL,density,0.2151217502436261,0.3363345172178849,0.9851180488156834,20,-0.22708242468103407,0.5837827657847381
SAL,strength,0.2048102988219072,0.3605509090499712,0.9357763824358388,20,-0.23728789930339145,0.5766271355474253
SAL,Cp,0.17499875934461565,0.43601274718455063,0.7948843797242822,20,-0.26625417485426234,0.5556135107107689
SAL,Lp,-0.27056525526486197,0.2232768635715051,-1.2568843338809739,20,-0.6213003568784514,0.1704916126337705
SAL,sigma,-0.14918998575017747,0.5075608198543353,-0.6747493228453011,20,-0.5370200042170747,0.290703650434806
SUB,E.global,-0.321070038121711,0.14513083553372363,-1.5161402189894737,20,-0.6541314339003852,0.1162785527249466
SUB,E.local,-0.004321381799531271,0.984772558423806,-0.019325987371842896,20,-0.4251552251561163,0.4180487210239629
SUB,density,-0.10411880535043246,0.6447192110175306,-0.46817806311017496,20,-0.5036196741465329,0.33206648620344886
SUB,strength,0.19954624156992173,0.37329235903654634,0.9107138239839077,20,-0.2424604994975037,0.5729520169656406
SUB,Cp,0.18813919759717562,0.40176890312032876,0.8566823839411564,20,-0.2535837879056653,0.5649362906466145
SUB,Lp,-0.34922628237249576,0.11115344032289108,-1.6667271882326455,20,-0.6719055407658773,0.08487955425118715
SUB,sigma,0.3820756615557418,0.07929951773017399,1.848974030581924,20,-0.04712378228164617,0.6921829068627515
VAN,E.global,-0.19237174142529476,0.3910655078842773,-0.876687236125764,20,-0.5679188194504132,0.249470116753345
VAN,E.local,-0.07860114834089314,0.72807261637996,-0.35260593366538595,20,-0.4841648991263496,0.3547637829197245
VAN,density,-0.18926362602447228,0.39890972136353997,-0.861992043189115,20,-0.5657295984510697,0.25249249575657273
