Network,Metric,r,p,Stat,Df,confInt1,confInt2
CON,E.global,0.03872105549805378,0.9049001394349552,0.12253862555276829,10,-0.5473436744433562,0.5993048738383495
CON,E.local,0.2868529093404445,0.3660076995482131,0.9469024651710651,10,-0.3436167319184514,0.7390827680758946
CON,density,0.1829415671238135,0.5692865363125545,0.5884427146890882,10,-0.436822215780731,0.6849318711035609
CON,strength,0.350679098424069,0.26373851474576665,1.1841428587363212,10,-0.2794666669398545,0.7696787803349538
CON,Cp,0.277526274889202,0.38247668908448795,0.9134991702274481,10,-0.35252259512847267,0.7344500001342625
CON,Lp,-0.2823064678445741,0.3739887475658046,-0.9305836023859397,10,-0.7368297707492043,0.34797227312472734
CON,sigma,0.1071901695377067,0.7402112745681271,0.34092933039599355,10,-0.4973038982414941,0.6416214113748943
DAN,E.global,0.32735545511435504,0.29895795734013575,1.095552390341127,10,-0.30357961013491597,0.7587170354333234
DAN,E.local,-0.23590270072280164,0.4604335408707273,-0.7676556309924577,10,-0.71324208046481,0.3909241609053283
DAN,density,-0.1153909184780605,0.7210115647471638,-0.36735197691958593,10,-0.6464806265242251,0.49102806727232984
DAN,strength,-0.08597290044750175,0.7904973300364284,-0.27288052921400663,10,-0.6288472048088857,0.5132525925977667
DAN,Cp,-0.21825192588722628,0.49557859729395415,-0.7072225850621008,10,-0.7039768311548121,0.40657533941065765
DAN,Lp,0.17880931646967818,0.5781888184593649,0.5747068273178764,10,-0.4402726167674212,0.6826573491064353
DAN,sigma,0.07483494085279532,0.8172041330182858,0.23731430653696858,10,-0.5214623872645404,0.6220220222574716
DMN,E.global,0.43207646289584833,0.16070505472336724,1.5150695562059202,10,-0.1885896005840932,0.8060919566151032
DMN,E.local,0.30448508347831177,0.3359144580831759,1.0108651834335034,10,-0.3264643829451235,0.7477257515358491
DMN,density,0.3585752711071278,0.25238742318317636,1.2146904950851471,10,-0.2711191158528076,0.773334713236384
DMN,strength,0.3407615991416355,0.2784065752819022,1.1461820891021952,10,-0.2898178493226679,0.7650477072803661
DMN,Cp,-0.018592476426299714,0.9542661597445163,-0.058804737544723845,10,-0.5862387777792505,0.5612983354313502
DMN,Lp,0.10905914957841008,0.7358231810430194,0.3469447469004859,10,-0.4958791583022794,0.6427326310688081
DMN,sigma,-0.32158177297625407,0.3080633919706402,-1.073978658361416,10,-0.7559652423072861,0.30942644340027103
FPN,E.global,-0.09900628184820913,0.7595081660041579,-0.3146311966728686,10,-0.6367290405751801,0.5035043865585835
FPN,E.local,-0.3988098062864674,0.19907888779343993,-1.375246506708391,10,-0.7915446005931602,0.22706098158869328
FPN,density,-0.30436284643802197,0.3361183297755558,-1.010417925804128,10,-0.7476663456602193,0.32658474137213334
FPN,strength,-0.48445484764019797,0.11046577338646828,-1.7512028528193162,10,-0.8281158850753743,0.1238925406410797
FPN,Cp,-0.3954816362398908,0.20320102589775654,-1.3616312507273476,10,-0.79006429536578,0.23080529270818984
FPN,Lp,0.5333326983464342,0.0741529312460316,1.9937758277048407,10,-0.05846343638865998,0.8477535014611144
FPN,sigma,-0.4033065645266611,0.19359152252801903,-1.3937451932071154,10,-0.7935373774684904,0.22197240587109202
SAL,E.global,0.3115161675975309,0.32430065234037597,1.0366851890447404,10,-0.319506748415911,0.7511308817528211
SAL,E.local,0.26076447588572266,0.413009542642803,0.8541615755155025,10,-0.3682463723300234,0.7260155723701327
SAL,density,0.3285194036583524,0.29714083742416175,1.099918080723946,10,-0.30239513126714657,0.7592699262723531
SAL,strength,0.1908442876657054,0.5524168503782794,0.6148024990137502,10,-0.43017231585993787,0.6892547009375772
SAL,Cp,0.25302060855168934,0.42751235443455693,0.8270323143021424,10,-0.37539115945193513,0.7220710555868184
SAL,Lp,0.008953881137092527,0.9779674134160116,0.028315793381097125,10,-0.5678657976740693,0.5798757215906303
SAL,sigma,-0.21234614779195052,0.5075991189697671,-0.687168697130663,10,-0.7008394110030959,0.4117314508699829
SUB,E.global,0.20748017465074148,0.517598746208916,0.6707049828903243,10,-0.4159499354268324,0.6982401028500501
SUB,E.local,0.12614362111057903,0.6960610282872126,0.40211323988608216,10,-0.48270279566930624,0.6527873335343966
SUB,density,0.17317601677578479,0.5904125096661537,0.5560317941005591,10,-0.44494711217043664,0.6795407950144174
SUB,strength,0.06668008027934877,0.8368734145555597,0.21133126567038713,10,-0.527404135829966,0.6169715497810191
SUB,Cp,0.02341724767661351,0.9424137316316821,0.07407215135521177,10,-0.5579832153014268,0.5893978315267537
SUB,Lp,0.36975443487683096,0.23681508863708076,1.258453389718195,10,-0.25913667622492187,0.7784639291285215
SUB,sigma,-0.22240807855300182,0.48719669300278046,-0.7213841276251692,10,-0.7061734633610706,0.40292274045773485
VAN,E.global,-0.540797459757649,0.06944335812577855,-2.033104610179821,10,-0.8506786055392526,0.04800239983583073
VAN,E.local,-0.020287632462898348,0.9501007932573178,-0.06416833373327747,10,-0.5873506639771583,0.5601357033997654
VAN,density,-0.5113194943811672,0.08930462996271088,-1.88148907700052,10,-0.8390146951383821,0.08857386512623794
VAN,strength,-0.5305650048082841,0.07595333960917597,-1.9793608706374792,10,-0.8466640846703376,0.062309303872906355
VAN,Cp,0.09071426910984073,0.790813365954467,0.27326950817895884,9,-0.538462371661113,0.6549487881700498
VAN,Lp,-0.27754678918891085,0.3824400525692643,-0.9135723300876749,10,-0.7344602370346558,0.3525031307730619
VAN,sigma,0.8503566337256695,0.14964336627433045,2.2853864415967666,2,-0.6059677958866936,0.9967957043878749
WB,E.global,0.2556980261155286,0.42247012892714464,0.8363926049608142,10,-0.3729292899938408,0.7234383177602037
WB,E.local,0.29599620317747144,0.3502309347588005,0.9799338842215527,10,-0.33477445412391876,0.743583315057982
WB,density,0.25906024484789686,0.41618000608803285,0.8481761715170889,10,-0.3698251627909687,0.7251501026091217
WB,strength,0.33796186485772484,0.28262998846478843,1.135544941401305,10,-0.2927135542239522,0.7637323523661342
WB,Cp,0.33840914452711895,0.2819528302987526,1.1372420134635308,10,-0.29225171758608604,0.7639427282695666
WB,Lp,-0.2568438484293826,0.42032125961145483,-0.8404046913902943,10,-0.7240223296321541,0.37187300183356303
WB,sigma,0.2389054222061682,0.45457433377924883,0.778014365137874,10,-0.3882250334935256,0.7148018398033585
