Network,Metric,r,p,Stat,Df,confInt1,confInt2
CON,E.global,-0.1342905547651284,0.551295225341546,-0.606055267133287,20,-0.5261115982144371,0.3045615688230253
CON,E.local,-0.21120717921147544,0.3454115599592228,-0.9663467300166545,20,-0.5810729771162043,0.23096823379597722
CON,density,-0.3034821968467126,0.16975018003219744,-1.424392093326837,20,-0.6428389741958126,0.13545821811804165
CON,strength,-0.08998156557156757,0.6904647253136991,-0.4040488466843579,20,-0.49289120467196407,0.34470390941076373
CON,Cp,-0.06423762913907699,0.776405143741736,-0.28787397703253825,20,-0.47303481404078374,0.3673189638991733
CON,Lp,0.0595043645288641,0.7925187014404852,0.2665839828063707,20,-0.37142215142931306,0.4693382675657645
CON,sigma,0.0031298649389822175,0.9889708646196813,0.013997250086995447,20,-0.41903152650381326,0.4241785753071643
DAN,E.global,-0.23873149503402694,0.28463951832597545,-1.099429015448911,20,-0.5999538573172707,0.20334374700231692
DAN,E.local,0.13613578994364164,0.5457876816028944,0.6145390041548243,20,-0.30285534181082474,0.5274695926235156
DAN,density,0.005064432544726267,0.9821546114533726,0.02264912133453664,20,-0.41743532537963624,0.42576378537054743
DAN,strength,0.17836241734191033,0.42710267712736727,0.8106600256447335,20,-0.26302529548816694,0.5580090824412535
DAN,Cp,0.11551431629089724,0.6087190544529131,0.5200772201657332,20,-0.3217646520031294,0.5121787311512935
DAN,Lp,-0.2270378878060089,0.3095866854925661,-1.0425700523595005,20,-0.5919812439964103,0.21516653455423235
DAN,sigma,0.05200119231639455,0.8182278449833412,0.23287147167014202,20,-0.37789221715637333,0.4634489193036138
DMN,E.global,0.06220144583518597,0.7833264998402462,0.2787130180031848,20,-0.3690861581884988,0.47144637420440744
DMN,E.local,0.0642699281271899,0.7762954840310478,0.28801932166238364,20,-0.36729090662591296,0.4730599892974176
DMN,density,0.030251398251974607,0.8936878897601448,0.13535031271036546,20,-0.3964129971177756,0.4461692926379898
DMN,strength,0.33009502015452374,0.1335291295721367,1.5638893911605003,20,-0.10630846618608511,0.6598689457674594
DMN,Cp,0.16440973979911525,0.46469706767027663,0.7454060967095284,20,-0.2763546541404023,0.548030604093946
DMN,Lp,-0.1408133278711696,0.5319404202332672,-0.6360740841602771,20,-0.5309030740748983,0.29851753438835366
DMN,sigma,0.16285094250483628,0.46899973310205145,0.7381452906609363,20,-0.27783335734989595,0.5469089833958949
FPN,E.global,0.19721272801195674,0.379021731096703,0.8996302222025332,20,-0.24474545996218391,0.5713180490326435
FPN,E.local,0.08228887128921833,0.7158149926055117,0.3692593557967751,20,-0.3515149229652506,0.4870014443230702
FPN,density,0.12723463933459553,0.5725843917171479,0.5736730490456441,20,-0.31106006436953615,0.5209003264991556
FPN,strength,0.026327288814643454,0.9074167819507357,0.11778004019321792,20,-0.3997179502973488,0.44301831770707784
FPN,Cp,0.04355669042764339,0.8473784296388991,0.19497648240449117,20,-0.38512412527474116,0.4567769454905996
FPN,Lp,0.14664156763293645,0.5149200243274027,0.6629679131426952,20,-0.2930870829786436,0.5351633662205136
FPN,sigma,-0.10242487596688407,0.65013938498764,-0.4604797520891016,20,-0.5023406496723545,0.3335890094398759
SAL,E.global,-0.07299404599468358,0.7468327850449269,-0.32731244395544534,20,-0.4798355972890437,0.3596836309379677
SAL,E.local,-0.1758030599705416,0.43387327424449407,-0.7986539351704759,20,-0.5561869029644043,0.2654830015982412
SAL,density,-0.11094316000378172,0.6230611765780434,-0.49923479444349933,20,-0.5087548173381027,0.32590956786391523
SAL,strength,0.011235515644073794,0.9604216951678437,0.05024992528010514,20,-0.41232611521003504,0.43080325254732016
SAL,Cp,-0.1898751368518654,0.39735953720634576,-0.8648811310340522,20,-0.566160739790162,0.2518985336463502
SAL,Lp,0.04313010295760435,0.8488564716509526,0.1930633365333852,20,-0.3854880649461295,0.4564386620219553
SAL,sigma,-0.5315275932438562,0.010903692179902778,-2.806314834664631,20,-0.7786445122272441,-0.14166600568211715
SUB,E.global,-0.154650171353422,0.49196665853901744,-0.7000385502342306,20,-0.5409853871699577,0.2855785139671459
SUB,E.local,-0.24611078631570385,0.26956257217753044,-1.13556906579946,20,-0.6049483488724794,0.19581599554291487
SUB,density,-0.2720536187918224,0.2206412143629842,-1.264349381358399,20,-0.6222858178352351,0.1689312612606674
SUB,strength,-0.013198170129174267,0.9535147212147157,-0.05902915259285467,20,-0.43240054147832313,0.4106955758491701
SUB,Cp,-0.03926723125837059,0.8622623191404372,-0.17574394018148767,20,-0.4533699587531066,0.3887775825970099
SUB,Lp,-0.12962833539013746,0.5653218807416658,-0.5846484211343838,20,-0.5226715282279067,0.30886005511277714
SUB,sigma,0.08074600140325573,0.7209353139122981,0.36229007806000735,20,-0.3528754537896842,0.48581572810403306
VAN,E.global,-0.17747677795755132,0.42943911863014406,-0.8065035326153441,20,-0.5573789498827766,0.26387640816573704
VAN,E.local,-0.13015473957552667,0.5637302612947306,-0.5870634322019319,20,-0.5230605834041779,0.30837561489587195
VAN,density,-0.16196907902137256,0.4714428667309246,-0.734040129822314,20,-0.5462738340516394,0.2786689850397367
VAN,strength,-0.01125359171559581,0.9603580686078486,-0.05033077926376748,20,-0.43081797560158513,0.41231111029344714
VAN,Cp,-0.1719813017461438,0.4560059125257724,-0.7609876678012711,19,-0.5619479137218548,0.2805328098410517
VAN,Lp,0.09463420881924987,0.675284614741024,0.42512496074816525,20,-0.34056218629955537,0.4964355800884915
VAN,sigma,-0.046676472964339855,0.854080983868653,-0.1869096122227929,16,-0.5025940923701309,0.42955438471331026
WB,E.global,-0.08379889111585379,0.7108150839272721,-0.3760828349252939,20,-0.4881604721319868,0.350181583265959
WB,E.local,-0.05720935301336087,0.8003616282042283,-0.25626771887570954,20,-0.4675407422089147,0.37340561735947886
WB,density,0.07292764845536813,0.7470557918822558,0.3270131182216108,20,-0.359741746451423,0.479784212090142
WB,strength,0.25651635623117713,0.2491784269242005,1.1868894720235312,20,-0.1851118362396963,0.6119434480820315
WB,Cp,0.23414379703125493,0.2942727858972345,1.077063119698393,20,-0.20799754392586364,0.5968345282210845
WB,Lp,0.02217494401758429,0.9219719444097739,0.09919375562055129,20,-0.40320310663974923,0.43967282644955447
WB,sigma,-0.012561570566899168,0.9557547127313498,-0.0561814840823703,20,-0.43188273870163635,0.41122474899822303
