Network,Metric,r,p,Stat,Df,confInt1,confInt2
CON,E.global,-0.358939293291164,0.0659641204350059,-1.9228322634360238,25,-0.6502569472177837,0.024403334885165124
CON,E.local,-0.3403711522661529,0.08234608185090914,-1.8099242246340566,25,-0.6378782509131564,0.045532213815010145
CON,density,-0.3573266862188317,0.06727799528025084,-1.9129258188364142,25,-0.6491879802831583,0.026252018399721414
CON,strength,-0.31666020954014534,0.1075547658928594,-1.669199663691014,25,-0.6218443479486542,0.07202034645397895
CON,Cp,-0.21322359943066402,0.2855851111863467,-1.091212136555934,25,-0.5487717201734189,0.18149666861594765
CON,Lp,-0.2852970245004791,0.14916749005926064,-1.4883418730750622,25,-0.6002353610140854,0.10623455787028033
CON,sigma,0.45609875311339254,0.016796552085402944,2.5625564851044524,25,0.09203699840209273,0.7126017988900742
DAN,E.global,-0.013891138312338437,0.9451742042552009,-0.06946239374610154,25,-0.3918366663602256,0.3680657829682524
DAN,E.local,0.014723883738332453,0.9418928148956754,0.07362740006761596,25,-0.3673454834814521,0.39254146958392894
DAN,density,-0.035193236320137426,0.8616533405567514,-0.176075255611051,25,-0.4097275383157164,0.3494948460976531
DAN,strength,0.06905572280095884,0.7321598047680439,0.346104834003141,25,-0.31933836483412154,0.43758648329366945
DAN,Cp,-0.006009820833669153,0.9762660689972409,-0.030049646839013573,25,-0.3851441882818463,0.3748602568115591
DAN,Lp,0.12480422357370599,0.535094383470597,0.6289385446108338,25,-0.26791630195130384,0.48196010005739304
DAN,sigma,-0.547104176393211,0.003144062007119974,-3.2679928464324677,25,-0.7675408515670941,-0.21094777835231676
DMN,E.global,-0.04584018447690549,0.8203921028033736,-0.22944211509800844,25,-0.4185628234870831,0.34009826259974857
DMN,E.local,0.1421500189408219,0.47938854935692754,0.7180417183708614,25,-0.25144685253573906,0.49540282341587916
DMN,density,-0.20178957997733685,0.31280858328885747,-1.0301389946537005,25,-0.5403666838423415,0.19302618555651355
DMN,strength,-0.15848154569041523,0.42979846239937114,-0.8025504090341429,25,-0.507906726975174,0.2357292622894353
DMN,Cp,-0.11498302570121813,0.5679335241387244,-0.5787537377990908,25,-0.4742735356141439,0.27714064369839325
DMN,Lp,0.38847339982463347,0.045232482114317796,2.107923436158957,25,0.009924548613102694,0.6696326354022285
DMN,sigma,0.2819486932983251,0.15420900776264823,1.4693559978339281,25,-0.10983330010594054,0.5979009012467745
FPN,E.global,0.1331035478903396,0.508064651249922,0.67149258865571,25,-0.2600648099724825,0.48841299489363915
FPN,E.local,0.05300340657029464,0.7928851421844583,0.26539008333342035,25,-0.3337326131656041,0.4244677286850688
FPN,density,-0.027557029685353427,0.8914730404413274,-0.13783749456601577,25,-0.40334712183206617,0.3561869458567413
FPN,strength,-0.32866359808655404,0.09416128307803752,-1.7399789454647456,25,-0.629993427674511,0.05867921093156884
FPN,Cp,0.050378342834659286,0.8029392334128418,0.25221197164935494,25,-0.3360694967075707,0.4223074546603094
FPN,Lp,0.18636701668590328,0.35197840170755323,0.9484517728051867,25,-0.20840674614286947,0.5289216564278343
FPN,sigma,0.06342515180429613,0.7533018074490805,0.3177655487601911,25,-0.3244078355637183,0.4330026946821439
SAL,E.global,0.004101430844342285,0.9838014677118874,0.020507326706844218,25,-0.37649934726465495,0.3835176457074559
SAL,E.local,-0.045822227188355956,0.8204613348704499,-0.22935204501610026,25,-0.4185479809344451,0.3401141761549124
