Network,Metric,r,p,Stat,Df,confInt1,confInt2
CON,E.global,-0.1490678456525308,0.6438073091911005,-0.47672032849714746,10,-0.6659935311511517,0.46457859954691405
CON,E.local,-0.21436741427725411,0.5034706500787947,-0.6940231749501232,10,-0.70191533203945,0.4099712455235762
CON,density,-0.2010041881426369,0.5310381758378703,-0.6488743310425856,10,-0.694760568308827,0.42152288812041183
CON,strength,-0.007667656669744486,0.9811318552873887,-0.024247972208066914,10,-0.5790213016982335,0.5687366750245667
CON,Cp,-0.12470608969988699,0.6993812889830727,-0.3974579469261154,10,-0.6519483947510881,0.4838222120406976
CON,Lp,-0.1296211609521647,0.6880492931515374,-0.4133855915650214,10,-0.6548114864622503,0.4799865571019792
CON,sigma,0.6114967398066934,0.03461766834013611,2.443892488325797,10,0.05792232306162871,0.877462553895233
DAN,E.global,0.6102150251086507,0.03510470488897288,2.435725890016566,10,0.05588426827425499,0.8769913119833962
DAN,E.local,0.48001252632277847,0.1142581850939795,1.7303080742133605,10,-0.1295879839871985,0.8262882775262537
DAN,density,0.5119666018802627,0.08883167083487821,1.8847153163203385,10,-0.08770409828357241,0.8392740186479918
DAN,strength,0.41952118979290437,0.1745861976245583,1.4614695674294969,10,-0.20333651814085932,0.8006541900978414
DAN,Cp,0.48430149176743076,0.11059528371920486,1.7504786059377178,10,-0.12408982649222826,0.8280529147285486
DAN,Lp,-0.06054277226744213,0.8517337824663791,-0.19180490239887826,10,-0.6131404592627651,0.5318378678541777
DAN,sigma,-0.5001992160023041,0.09769957591696164,-1.8267119636256897,10,-0.8345349435372545,0.10337887095937467
DMN,E.global,0.2341294564131597,0.463910251309809,0.7615492846932628,10,-0.39251307193660534,0.7123187456227816
DMN,E.local,-0.23416073024487524,0.4638488280927372,-0.7616569094083866,10,-0.712335044373362,0.39248508146389166
DMN,density,0.009296877240198884,0.9771236026002308,0.029400577807753403,10,-0.5676333434341655,0.5801033569202094
DMN,strength,0.14357399485389277,0.6562060332391695,0.45877392480548534,10,-0.46896946203145035,0.6628578805357781
DMN,Cp,-0.134959455544275,0.6758079711024294,-0.43071987501732356,10,-0.6579041282092568,0.4757940521879742
DMN,Lp,-0.4201975511004412,0.17381990646125756,-1.4643305215721074,10,-0.8009487353908886,0.20254922837873374
