Network,Metric,r,p,Stat,Df,confInt1,confInt2
CON,E.global,0.1097136236322482,0.6269417883924053,0.4936341925649995,20,-0.32702159648993456,0.5078317101941947
CON,E.local,-0.32262628918525704,0.14308115739503122,-1.5243405638974772,20,-0.6551235421136796,0.1145655955354787
CON,density,-0.042166381192412616,0.8521973771900372,-0.18874165575415067,20,-0.45567399141343334,0.38630976576057846
CON,strength,0.0762004659345607,0.7360870888019557,0.3417725410838404,20,-0.35687315930872315,0.48231373514611087
CON,Cp,-0.14086189478017092,0.5317975108043426,-0.6362979082520567,20,-0.5309386568842723,0.2984723994931399
CON,Lp,0.21370796303068965,0.33959630367850524,0.9783329107616316,20,-0.22848745043333493,0.5828050445703802
CON,sigma,0.23068673887190974,0.30166348536512055,1.0602597079685363,20,-0.21149123505588074,0.5944766930752745
DAN,E.global,-0.2599957669285275,0.24259059867204233,-1.204147338009763,20,-0.6142701268135612,0.1815090507360553
DAN,E.local,0.11603231362241609,0.607102417962675,0.5224411422301014,20,-0.3212938960359887,0.5125659308323282
DAN,density,0.14796277601281266,0.511098326627571,0.6690741966784232,20,-0.291852092016344,0.5361263951390861
DAN,strength,-0.011652558773525775,0.9589537913026818,-0.05211536534649479,20,-0.431142879487065,0.4119798698904072
DAN,Cp,0.11432603776836392,0.6124342566371597,0.5146560379471409,20,-0.32284374330064514,0.5112898909888267
DAN,Lp,-0.4172118734642769,0.053381776333827874,-2.053047127820512,20,-0.713343213433672,0.005335000209657465
DAN,sigma,0.06874265266016868,0.7611505265230852,0.3081554531678705,20,-0.3633979696971097,0.4765397930687152
DMN,E.global,0.28352560722792647,0.20101706772555095,1.3222229218757886,20,-0.15682976666949416,0.6298444676608569
DMN,E.local,0.017184797289664995,0.9394954012143992,0.07686410032421945,20,-0.4073751869741672,0.43563694311693496
DMN,density,0.22329184627535184,0.3178515373063931,1.0244573669510584,20,-0.21892674255560754,0.5894120261967671
DMN,strength,0.2122029247764141,0.34308910186211294,0.9711169120826855,20,-0.22998114025069724,0.58176304196176
DMN,Cp,0.09195480355971827,0.6840122327145728,0.41298412190449857,20,-0.3429494226987135,0.4943960486276971
DMN,Lp,-0.16819991319136432,0.45432036600318193,-0.7630846186648269,20,-0.5507520514179406,0.27275050015831315
DMN,sigma,-0.13408649207054826,0.5519058432267785,-0.6051174552372443,20,-0.5259612961721744,0.3047500859480106
FPN,E.global,-0.20007678525388603,0.37199667931730407,-0.9132360161975666,20,-0.5733230994537721,0.2419403096640927
FPN,E.local,-0.08876167072526045,0.6944642257479208,-0.39852728889667943,20,-0.4919596730315144,0.34578705088782236
FPN,density,-0.06882866061765815,0.760860104378848,-0.3085428385440855,20,-0.47660658273965584,0.36332296254769003
FPN,strength,-0.3273203119479342,0.137023096138502,-1.5491587592873661,20,-0.6581090467613212,0.10938311510307293
FPN,Cp,-0.10944820277971394,0.6277807548534236,-0.49242548877400233,20,-0.5076323183690641,0.32726149224296597
FPN,Lp,-0.07735170543213832,0.7322404098043869,-0.3469669015306132,20,-0.48320190771693833,0.3558621654918549
FPN,sigma,-0.22862803825211994,0.3061183455258174,-1.0502733659513015,20,-0.5930696087441228,0.2135663965161438
SAL,E.global,0.2628846917792356,0.23720745077313707,1.2185145804233803,20,-0.17850865605974012,0.6161972788908674
SAL,E.local,0.18800322392859314,0.4021154222088241,0.8560405403715707,20,-0.2537156783425674,0.5648403111416312
SAL,density,0.18894513458575266,0.39971842758205667,0.860487740031135,20,-0.2528017155523722,0.5655049667889802
SAL,strength,0.10349469605600357,0.646714205064203,0.465341231225033,20,-0.33262770738491804,0.5031486355801517
SAL,Cp,0.15351032066271264,0.4952023187101211,0.6947539117350581,20,-0.2866505045666945,0.540159002820605
SAL,Lp,0.06304468592555817,0.7804582222850687,0.28250639521891585,20,-0.3683546920596846,0.47210451356830785
SAL,sigma,-0.0785866855649689,0.7281208180035136,-0.3525406502160509,20,-0.48415375775311775,0.3547765039617719
SUB,E.global,-0.16639506597010875,0.4592465578300178,-0.7546619733435892,20,-0.549457135769911,0.2744683115239251
SUB,E.local,0.13416970402011874,0.551656810661633,0.6054998633171915,20,-0.3046732172663865,0.5260225887524695
SUB,density,-0.04421516014986179,0.8450979348346879,-0.19792977653004523,20,-0.45729887686710036,0.38456209525026896
SUB,strength,-0.2703283005809115,0.22369838051899313,-1.2556967614245376,20,-0.6211433642729127,0.17073982418797165
SUB,Cp,0.22601534143323684,0.3118296001910872,1.0376210853380659,20,-0.2161942506216587,0.5912806670939705
SUB,Lp,-0.14389149827361697,0.5229184800175727,-0.6502693906886081,20,-0.5331555964508023,0.29565299508860715
SUB,sigma,0.24678107218367196,0.26821863342649144,1.138862077694124,20,-0.19512963449500437,0.605400620809126
VAN,E.global,-0.036755206285346766,0.8710000581282912,-0.16448542250692325,20,-0.4513690997218932,0.3909109155304972
VAN,E.local,0.014738504046439956,0.948096209297653,0.06591975391772766,20,-0.4094139913357919,0.43365228858774746
VAN,density,-0.04492752593302065,0.8426321291007952,-0.2011250903738441,20,-0.45786320829868477,0.3839537045992548
VAN,strength,-0.33914702747810915,0.12257324541541378,-1.612265118438872,20,-0.6655852664494925,0.09621959479378786
VAN,Cp,0.1403808681056705,0.5438959931771683,0.6180259723167564,19,-0.3100980269803481,0.5393808626481076
VAN,Lp,0.04158587060426628,0.8542110013213465,0.1861386894915071,20,-0.3868044001435228,0.45521308721195397
VAN,sigma,-0.046961164169245714,0.853200094243075,-0.18805213160148476,16,-0.5028073071980558,0.42932168533713666
WB,E.global,0.06453582958220726,0.7753928668799979,0.2892159060706815,20,-0.3670598952409419,0.47326721925849907
WB,E.local,0.25008045826147096,0.2616652877235809,1.1550969466491674,20,-0.19174479975896241,0.6076234940019537
WB,density,0.10058072987953307,0.6560596891732524,0.4521033596575489,20,-0.3352439671643541,0.5009462094355471
WB,strength,-0.20165780198780245,0.36815084896446615,-0.9207571056191776,20,-0.5744280155390964,0.240388639068997
WB,Cp,0.3415224065259826,0.11980887720220137,1.6250425378280553,20,-0.09355722673387418,0.6670789951499058
WB,Lp,-0.22304739438525878,0.31839546104791383,-1.0232770760184713,20,-0.5892441113551786,0.2191716632147838
WB,sigma,0.37053010767675465,0.08959664572584389,1.7840487969646788,20,-0.060535039761506586,0.6851113955798419
