Network,Metric,r,p,Stat,Df,confInt1,confInt2
CON,density,-0.551976450172977,0.002835891754961,-3.3097681210777,25,-0.770393608152513,-0.217607580564359
CON,E.global,-0.549385199036111,0.002996401047856,-3.28749068957123,25,-0.768877497179764,-0.214061776936307
VAN,density,-0.542326824303283,0.003473574907457,-3.22749185277234,25,-0.764735167892903,-0.204447884234305
VAN,E.global,-0.528262138843853,0.004619892234771,-3.11078643090232,25,-0.756425884855417,-0.185483409148109
CON,E.local,-0.511398499992158,0.006403504149655,-2.9755178696176,25,-0.74636496438839,-0.163076609596359
VAN,E.local,-0.509994983225864,0.006575089456105,-2.96447568742033,25,-0.745522751151856,-0.161227807446018
SUB,density,-0.484663453375835,0.010405359158016,-2.77045306061242,25,-0.730191555587288,-0.128275041049552
CON,strength,-0.480015468864412,0.011278958360169,-2.73587907661444,25,-0.727351389702619,-0.122312918242494
SUB,E.local,-0.471787846107989,0.012975003921916,-2.6754075724441,25,-0.722303014967915,-0.111821995180888
VAN,Cp,-0.467812060460892,0.01386740461782,-2.64651084644037,25,-0.719853913134922,-0.106781120784764
DMN,Lp,0.436551663899699,0.022807962362513,2.42615183722466,25,0.067782530341117,0.700376208069536
SAL,sigma,-0.423897252739456,0.027559787353377,-2.34013712816846,25,-0.692378180408947,-0.052309691720254
SUB,E.global,-0.410491039678538,0.033436668306688,-2.25083321283694,25,-0.683832397868002,-0.036109948804599
CON,Lp,-0.408636247389117,0.034323484476727,-2.23861861802426,25,-0.682644126449961,-0.033884050365571
WB,Cp,0.407758952585687,0.034749454232568,2.23285287637553,25,0.032832520253905,0.682081582893962
CON,Cp,-0.404960271909168,0.036136727245885,-2.21450885162785,25,-0.680284825694397,-0.029483545329979
DAN,sigma,-0.39491538897275,0.041484469752684,-2.14927543634251,25,-0.673808627918755,-0.017532599258488
DMN,sigma,0.390525120865203,0.044010811307955,2.1210536577429,25,0.012342903627858,0.670964587190422
SUB,strength,-0.36736558220929,0.059418539572315,-1.97492105596195,25,-0.655823877486654,0.014700654584545
FPN,E.global,0.365937827219539,0.060490501581231,1.96605616826806,25,-0.016349760620958,0.654882816167522
CON,sigma,0.354121307800324,0.069949493154791,1.89329286906874,25,-0.02991887182292,0.647059766295069
SUB,sigma,0.351079615134666,0.072559396136872,1.87473306272031,25,-0.033388941595815,0.645036001635215
DMN,E.local,0.325638987272013,0.0974112549238,1.72205706364231,25,-0.062053997078944,0.627946259419876
WB,E.local,0.302649958511816,0.124920385077436,1.58771059363063,25,-0.087418064837855,0.612248484703726
VAN,strength,-0.300068287548223,0.128332006077524,-1.57282059145062,25,-0.610470245815683,0.09023521217667
WB,E.global,-0.295622620983545,0.134365307858923,-1.54726857943158,25,-0.607400746816324,0.095071777205815
SAL,Lp,0.292426609765358,0.138828034389363,1.52896731698628,25,-0.098537447790864,0.605188301940054
SUB,Cp,-0.290844598674436,0.141076267323549,-1.51992906079476,25,-0.604091361160401,0.100249437158176
SAL,E.local,-0.267504276022273,0.17735106114121,-1.38810867842734,25,-0.587768430041497,0.125241121190508
SUB,Lp,0.266268559184678,0.179437667544867,1.38120587234029,25,-0.126550518466159,0.586896908734383
FPN,Lp,0.258386257556863,0.193151117780161,1.33734527666658,25,-0.134870716020194,0.581320171147252
VAN,Lp,-0.234987283237844,0.238054740501234,-1.2087842552225,25,-0.564584709921011,0.15924721169138
SAL,Cp,-0.233429258622762,0.241271234537677,-1.20030620835388,25,-0.563460669186111,0.160853432679219
WB,sigma,-0.204999155325427,0.305010175767357,-1.04723683542932,25,-0.542732852344446,0.189800773234763
SAL,E.global,-0.20226345356178,0.311649513431934,-1.03266119021741,25,-0.540716370981047,0.192550510035854
DAN,Cp,0.18922641082787,0.344504964487325,0.963539863258571,25,-0.205569808345528,0.531053053234816
FPN,strength,-0.169199264046687,0.398842098597043,-0.858372451676961,25,-0.516033279105351,0.225301132819559
DAN,E.global,-0.160687089959214,0.423323419482384,-0.814013226276017,25,-0.509584146660636,0.233590704081162
FPN,sigma,0.156690820916521,0.43509513175647,0.793252595678492,25,-0.237462795942382,0.506542844893616
DAN,E.local,0.156463482568601,0.435770080239307,0.792072783834635,25,-0.237682694245627,0.506369570282383
FPN,density,0.156317617202997,0.436203440528443,0.791315858161781,25,-0.237823764638554,0.506258378535412
DMN,density,-0.14954416224769,0.4565819860284,-0.756224520207788,25,-0.501082193197806,0.244356295810569
DMN,Cp,-0.14927147259202,0.457412765123242,-0.754814110228415,25,-0.500873279315133,0.244618539678113
SAL,density,0.101280265599867,0.615202500045811,0.509018736202885,25,-0.289891000552089,0.463456747368426
DAN,Lp,-0.094973347815305,0.637489356667173,-0.477022970882867,25,-0.458441606615398,0.295713264166103
DAN,strength,0.093304967719169,0.643437807527408,0.468568934902936,25,-0.297248598403897,0.457111059507459
WB,density,0.080493476942883,0.68980939960575,0.403777588271629,25,-0.308971508828321,0.446839235856851
WB,Lp,0.064976190184977,0.747459803192687,0.325568938459426,25,-0.323013581711184,0.434267289053111
FPN,E.local,0.054872914957307,0.785744408225762,0.274778570854613,25,-0.332065436789364,0.426003650742775
DMN,strength,0.040355331567738,0.841596987987423,0.201941160761383,25,-0.344948624822487,0.414020055759207
WB,strength,0.033469242410581,0.868370919375836,0.167440020665211,25,-0.351009131196023,0.40829025452352
FPN,Cp,0.027944537017825,0.889955988497065,0.139777271584264,25,-0.355848293718637,0.403671785290803
SAL,strength,-0.016459134344543,0.935058185410616,-0.082306821064491,25,-0.394008693656677,0.365843070493392
DMN,E.global,0.01613370647571,0.936339619942752,0.08067903329631,25,-0.366124984019175,0.393733677845396
DAN,density,0.010930055225801,0.956848909466948,0.0546535408494,25,-0.3706233218814,0.389326923033097
VAN,sigma,0.002925078055684,0.988685198931138,0.014329958692755,24,-0.384862923878935,0.389835320031767
