Network,Metric,r,p,Stat,Df,confInt1,confInt2
SUB,strength,-0.436081514890171,0.022971676693121,-2.42292499733596,25,-0.700080237827417,-0.067204477940793
DMN,E.global,-0.422463965523102,0.028145053942539,-2.3305020839617,25,-0.691468114261779,-0.050568354985642
FPN,E.global,0.411083707440228,0.033157210234427,2.25474325050566,25,0.036821981292962,0.68421178463932
WB,Lp,0.397070495431259,0.040287222415843,2.1631926231229,25,0.020087593433059,0.675201700917454
CON,density,-0.395568668711337,0.041118600161614,-2.15348970791755,25,-0.674231121144948,-0.018306577172745
DMN,density,-0.378811610356939,0.051350292355723,-2.04658202255077,25,-0.663335915290937,0.001404544936322
DMN,Lp,0.370152601329394,0.057368691807942,1.99227217922961,25,-0.011475551888602,0.657658277044547
SUB,density,-0.368827349075453,0.058336420479828,-1.984013844664,25,-0.656786428798344,0.013010107504589
CON,E.global,-0.364860642054073,0.061309159982639,-1.95937857247368,25,-0.654172228741709,0.017592571470364
VAN,strength,-0.35999641231821,0.065113654659201,-1.92933699239979,25,-0.650957066187472,0.02319003534225
SAL,E.global,-0.359920105321622,0.065174759022912,-1.92886717018263,25,-0.650906545424936,0.023277653876379
VAN,E.local,-0.355403491107412,0.06887123636078,-1.90113702277787,25,-0.647911621235864,0.028453333284045
DMN,Cp,-0.353115332696397,0.070804534255224,-1.88714705451992,25,-0.646390905735564,0.031067548961824
VAN,Cp,-0.35057981194125,0.07299530808698,-1.87168986479026,25,-0.64470306685543,0.033958249301284
VAN,density,-0.350487280670264,0.073076230898342,-1.87112666124127,25,-0.644641416593542,0.034063620948585
CON,E.local,-0.343893414429952,0.079022241067571,-1.83115139490774,25,-0.640238287664659,0.041550556868878
CON,strength,-0.319394167657763,0.104386538868462,-1.68524044146377,25,-0.623706257789881,0.068993877996353
SUB,E.local,-0.311107350847761,0.114208748567877,-1.63676140436688,25,-0.61805203003165,0.078145361119922
VAN,E.global,-0.306190138505623,0.120350637673671,-1.60819152484332,25,-0.614681857121137,0.083544811627255
DMN,sigma,0.30499991356094,0.121873088045989,1.60129758934023,25,-0.084848332677425,0.613864400723797
DAN,density,0.302224437926587,0.125478084440451,1.58525373346969,25,-0.087882827336849,0.611955604186731
SUB,E.global,-0.292110021298524,0.139275859833417,-1.52715750650126,25,-0.604968879656323,0.098880232535452
DAN,sigma,-0.292078141325002,0.139321012931664,-1.52697529179065,25,-0.604946781534927,0.098914745292355
SUB,sigma,0.287608785356506,0.145756319350821,1.5014846932515,25,-0.103743907731837,0.601843997736654
SAL,E.local,-0.273246046467037,0.167878067129607,-1.42028016402995,25,-0.591808234933715,0.119138992309241
DAN,strength,0.272765856077675,0.168656348515095,1.41758340865772,25,-0.119650458244999,0.591470993822943
SAL,sigma,-0.267625499288906,0.177147283344895,-1.38878623717079,25,-0.587853885873493,0.125112596170273
SAL,Lp,0.253222835157684,0.202516289531844,1.30876962427261,25,-0.140291091880005,0.577650522963378
WB,density,-0.250063173333645,0.208397783856528,-1.29134243160152,25,-0.575398462789586,0.143596399071871
DAN,E.local,0.23371677213172,0.24067552234663,1.2018699852557,25,-0.160557182204646,0.563668188501687
SAL,Cp,-0.225524508602685,0.258031483699523,-1.15744112619705,25,-0.557738878872025,0.168970658871757
SAL,density,-0.218076177542483,0.274500931724216,-1.11727166129985,25,-0.552318415483254,0.176570540956242
CON,Cp,-0.20530692176988,0.304268805263859,-1.04887819110217,25,-0.54295946311292,0.189491039796343
CON,Lp,-0.199387915236904,0.318723823768471,-1.01736766860254,25,-0.53859261501525,0.195434132430719
FPN,density,0.197876902069963,0.322480389430369,1.00934236035488,25,-0.196946662300899,0.537474911811324
WB,E.global,-0.192741261304351,0.335449738410157,-0.982121462432886,25,-0.533667114947554,0.202073447091632
SUB,Lp,0.184661431851735,0.356481686680445,0.939463875269303,25,-0.210095779030163,0.527648250004102
DAN,E.global,0.183511844812284,0.359536091046715,0.933410875436961,25,-0.211232882035345,0.526789086462867
WB,Cp,0.183458989169054,0.359676896180431,0.933132666496642,25,-0.211285138008218,0.526749567019546
WB,strength,-0.183347478727149,0.359974061755695,-0.932545751872575,25,-0.526666187314998,0.211395375913665
WB,sigma,-0.170843130036233,0.394208347975634,-0.866961508817375,25,-0.517274218017873,0.223693648296305
FPN,Cp,-0.150406131078954,0.453961145613267,-0.760683972218896,25,-0.501742298202899,0.243526966894533
VAN,sigma,0.14401207599637,0.4827554193604,0.712943983708664,24,-0.257716133978586,0.50328887214062
SUB,Cp,-0.126617136194786,0.529132454958646,-0.638222309493314,25,-0.483372991792996,0.266205655532552
FPN,E.local,-0.125937452063507,0.531363936061731,-0.634740951088542,25,-0.482843498306155,0.266847288828464
VAN,Lp,-0.108508767360181,0.590063810809026,-0.54576631834118,25,-0.469176319454435,0.283182172030114
CON,sigma,0.081903715259268,0.684647352216096,0.410899095872248,25,-0.307686867625533,0.44797466860448
DMN,strength,-0.080637090158122,0.68928309202972,-0.40450270270237,25,-0.446954917937035,0.308840750897571
DAN,Cp,0.066794277748618,0.740629268943387,0.334718893496692,25,-0.321377126041151,0.435747763403621
SAL,strength,0.064996017060036,0.747385212331581,0.325668704161816,25,-0.322995748099126,0.434283444906092
DMN,E.local,0.061583667097578,0.76025500875981,0.308503899140905,25,-0.326060991169467,0.431499401930113
DAN,Lp,0.038520059566962,0.848717207489972,0.192743346724335,25,-0.346567009831434,0.412495844990373
WB,E.local,0.032890319806126,0.870628728945479,0.164540620924346,25,-0.351517182275875,0.407807192915198
FPN,sigma,-0.027324211018289,0.892384681601637,-0.136672085162267,25,-0.403152014945724,0.356390363318932
FPN,strength,-0.010201501666572,0.959722811488424,-0.051010162731966,25,-0.388708555962825,0.371251700515963
FPN,Lp,0.009979769772725,0.960597569369472,0.049901333907255,25,-0.371442875311171,0.388520291110101
