Network,Metric,r,p,Stat,Df,confInt1,confInt2
CON,E.global,-0.19331501357319672,0.5471854286442577,-0.6230688577222908,10,-0.6905989586119635,0.42807935309329426
CON,E.local,0.14072457326481025,0.6626684446567327,0.44948307751477246,10,-0.47123494904606117,0.6612243495825294
CON,density,0.14063678649245773,0.6628678810046218,0.4491970214965418,10,-0.4713046176111739,0.6611739442349401
CON,strength,0.2887011491110639,0.36278896433906027,0.9535563247094537,10,-0.34183830925574493,0.7399957831309367
CON,Cp,-0.05114802190541268,0.8745659443511715,-0.16195623425360262,10,-0.6072251916420219,0.5385625230426829
CON,Lp,-0.3764705101413714,0.227741086466156,-1.2850469869901693,10,-0.7815193697079824,0.251843712572681
CON,sigma,0.555275908764672,0.06090393188621456,2.1113478044699177,10,-0.027337429059756793,0.8562978770817699
DAN,E.global,0.11620080595313548,0.7191232502110401,0.36996545454868285,10,-0.49040484629192643,0.6469581852108505
DAN,E.local,0.07275041908754236,0.8222231769697199,0.23066825498476018,10,-0.5229867215147608,0.620735352416647
DAN,density,0.038841140251060745,0.9046063921813289,0.1229192251799642,10,-0.547259433059345,0.5993819385479754
DAN,strength,0.0617012957075116,0.8489250968045208,0.19548910224619132,10,-0.531003403175671,0.613865639822061
DAN,Cp,0.34026516497550136,0.27915280201591763,1.1442934630483343,10,-0.29033214390982715,0.7648147333940805
DAN,Lp,0.011541751863033047,0.9716015143425115,0.03650065531995311,10,-0.5661096794587956,0.5815910088686911
DAN,sigma,-0.11008708039299403,0.7334128256356641,-0.35025478248335845,10,-0.6433428413123082,0.49509416696496206
DMN,E.global,0.07848802066694094,0.8084236503892026,0.24896896945810526,10,-0.5187818128610925,0.6242697788191408
DMN,E.local,-0.0021082004138318483,0.9948118812889986,-0.00666672988700509,10,-0.5753137455392737,0.5724860672764119
DMN,density,0.30152766696110883,0.34086569736220074,1.0000595492269302,10,-0.32937061849526367,0.7462864855723736
DMN,strength,0.4110599144521924,0.1843514264392544,1.4259255232212589,10,-0.21311791226236398,0.7969537956189423
DMN,Cp,0.34797213242692604,0.2676967817313085,1.1737373610745514,10,-0.2823066151677623,0.7684190962241181
DMN,Lp,-0.606817906136348,0.03641924576230189,-2.4142274889982915,10,-0.8757398219805197,-0.05050476395857049
DMN,sigma,0.2881362147550117,0.36377122047823507,0.9515212718801388,10,-0.34238238293365003,0.7397168866334984
FPN,E.global,-0.1230666103612824,0.7031738934062186,-0.39215176858465517,10,-0.6509900216517369,0.4850964609490491
FPN,E.local,-0.015049362042413262,0.9629756422274596,-0.04759565150177801,10,-0.583907852641602,0.5637210307635981
FPN,density,-0.11621733787805419,0.7190847197365565,-0.3700188102451721,10,-0.6469679291003075,0.4903921182543316
FPN,strength,-0.12490986428105419,0.698910336012282,-0.3981176938960295,10,-0.6520673955229915,0.48366365229393243
FPN,Cp,0.012303578176716906,0.9697277735484238,0.038910275600379976,10,-0.5655917064263387,0.5820949971440448
FPN,Lp,0.04648317749703781,0.8859367193001118,0.1471517741125053,10,-0.5418738849061168,0.6042649567960746
FPN,sigma,0.1316042372390415,0.6834936668456733,0.41982059718302145,10,-0.4784323641392939,0.6559624017009081
SAL,E.global,-0.3122902579775142,0.3230356319570835,-1.0395392598108741,10,-0.7515043470457089,0.3187365640198287
SAL,E.local,-0.34172057400763195,0.27696830273533807,-1.149833471255103,10,-0.7654974347614897,0.2888233407625437
SAL,density,-0.14963628035554724,0.642529126718889,-0.47857974295988615,10,-0.6663169294067044,0.46412255911656053
SAL,strength,-0.04627418330037006,0.8864466300194249,-0.14648873831331724,10,-0.6041319710903571,0.542021814138345
SAL,Cp,-0.35225012860648386,0.2614569201691489,-1.1901973443920781,10,-0.7704083647005535,0.27781338651230647
SAL,Lp,-0.003516846635888801,0.9913454029552586,-0.011121314326499114,10,-0.5762553935728348,0.5715383198667902
SAL,sigma,-0.3338893472447338,0.2888380919764811,-1.1201326887952645,10,-0.7618126930879838,0.2969051210794095
SUB,E.global,0.05551864575997844,0.8639320352668236,0.17583657465104158,10,-0.5354433976004388,0.6099847809335002
SUB,E.local,-0.05576316461408613,0.8633377069290487,-0.17661341591952265,10,-0.6101387726358933,0.5352684175825648
SUB,density,-0.06120960399698943,0.8501169426583428,-0.1939253861563936,10,-0.613557977989705,0.5313577007992244
SUB,strength,0.03871609504688008,0.9049122737581227,0.12252290388890891,10,-0.5473471540241691,0.5993016902321302
SUB,Cp,-0.028299145431454825,0.9304318816200672,-0.0895256104977624,10,-0.5925767674149157,0.5546098487163098
SUB,Lp,0.11164684648956646,0.7297596132267233,0.35527955517998794,10,-0.49390114338566105,0.6442674724934601
SUB,sigma,-0.02052724081585672,0.9495121137633573,-0.06492651546365441,10,-0.5875076553331041,0.5599711820525501
VAN,E.global,0.16000556263382837,0.6193717581020419,0.5125861180021924,10,-0.4557460527636326,0.6721823845773368
VAN,E.local,-0.1747032169734247,0.5870887739319719,-0.5610889901782481,10,-0.6803875094101448,0.44368316505845357
VAN,density,-0.05042272246031625,0.876332517466755,-0.1596537338596172,10,-0.6067659396883229,0.5390785790188726
VAN,strength,0.10884420138785851,0.7363274821119699,0.34625273593343725,10,-0.4960431811051062,0.6426049457781448
VAN,Cp,-0.17594832839376412,0.6048110191577197,-0.5362101838651134,9,-0.7017551835013598,0.47395076989824
VAN,Lp,0.18751415866657534,0.5595003695402787,0.6036799705693625,10,-0.4329827589005815,0.6874374186281055
VAN,sigma,-0.9948745111169797,0.005125488883020311,-13.914187889470593,2,-0.9998980412545185,-0.7707169521797257
WB,E.global,0.05408818415106299,0.8674102082962994,0.17129260090848855,10,-0.5364660340009344,0.6090830729944935
WB,E.local,0.004367302978350211,0.98925261364698,0.0138107563528451,10,-0.5709653829484297,0.5768231691057765
WB,density,0.15243864732635568,0.6362407792789766,0.487753738306,10,-0.46186952645730833,0.667908437485936
WB,strength,0.2037486094328872,0.5253246489661669,0.65811479204806,10,-0.41916688585694,0.6962379676287047
WB,Cp,0.011299445651230236,0.9721975037327756,0.03573426585835694,10,-0.5662743302223854,0.5814306187530204
WB,Lp,-0.0024307936198841064,0.9940180159543122,-0.007686867070590082,10,-0.5755295259994092,0.5722691596935119
WB,sigma,-0.17296923133459283,0.5908631080357554,-0.5553473601292287,10,-0.6794260446936634,0.44511806362942724
