Network,Metric,r,p,Stat,Df,confInt1,confInt2
CON,E.global,-0.08050451433814394,0.7217377891357822,-0.36119949850753624,20,-0.4856300070195757,0.3530882356620777
CON,E.local,0.21679072781005287,0.33250800447384754,0.9931362753387681,20,-0.22542141741040556,0.5849355923896525
CON,density,-0.077000576763863,0.7334129959117948,-0.3453824717948185,20,-0.4829311031113287,0.35617062665996985
CON,strength,0.1616163697400309,0.472421829567065,0.7323987398501846,20,-0.27900301521467674,0.546019676531939
CON,Cp,0.23155386356253457,0.299799080858746,1.0644704465069208,20,-0.2106159822161145,0.5950686909302496
CON,Lp,-0.13132377102862425,0.5602027587352166,-0.5924284660984741,20,-0.5239240067932779,0.3072989623748254
CON,sigma,0.11408628130206129,0.6131849850390456,0.5135624895364117,20,-0.3230613315789881,0.511110448552732
DAN,E.global,0.0595019012914779,0.7925271090258783,0.2665729081089937,20,-0.37142428239522457,0.46933634009973335
DAN,E.local,0.13085406748142697,0.5616188823711716,0.5902725556070285,20,-0.3077316841097751,0.5235771900287398
DAN,density,-0.0025786537214768502,0.9909131575912109,-0.011532128364558226,20,-0.42372643276049776,0.4194858506949515
DAN,strength,-6.930835741228897e-4,0.9975576178686759,-0.003099564716115636,20,-0.42217816580942746,0.42103839487898354
DAN,Cp,0.027156895209326282,0.9045120619670534,0.1214941365329587,20,-0.3990201635127268,0.44368533295755164
DAN,Lp,0.08554496509684317,0.7050478571284907,0.3839762517645786,20,-0.3486376132338737,0.4894989094038093
DAN,sigma,-0.16710362451868183,0.45730931818022225,-0.7579676542383197,20,-0.5499657216012239,0.2737942574029296
DMN,E.global,-0.21040338725520039,0.3472930352604816,-0.962498411733328,20,-0.5805155504703755,0.23176437822909504
DMN,E.local,-0.20714840206020116,0.354973444831546,-0.9469352868363246,20,-0.5782546781939241,0.23498234957642766
DMN,density,-0.22336756780877814,0.31768316526429363,-1.0248230156851146,20,-0.5894640331608724,0.21885086451025398
DMN,strength,-0.08019958307188121,0.722751496802906,-0.3598224900775556,20,-0.4853954404794329,0.3533568561575886
DMN,Cp,-0.31792842520245795,0.14933155900888903,-1.4996277518788428,20,-0.6521251614336223,0.11972860000504228
DMN,Lp,0.06305740078104102,0.7804149937506665,0.282563598554174,20,-0.36834365850680795,0.47211443388082885
DMN,sigma,0.10708342448712473,0.6352750665276049,0.48166116571543466,20,-0.3293963713682183,0.505853943606365
FPN,E.global,0.049221632201080105,0.8277992870234698,0.22039297367516658,20,-0.3802784503867716,0.4612579363384742
FPN,E.local,0.0612996227845933,0.7863970559748257,0.2746567638977307,20,-0.3698678511116311,0.47074200669313276
FPN,density,0.020931890554247455,0.9263341060768318,0.09363077448405051,20,-0.40424403493363503,0.4386690558676108
FPN,strength,-0.14708387671433854,0.5136390876924677,-0.665011745794301,20,-0.5354858778433772,0.29267380076537886
FPN,Cp,0.13481481708921123,0.5497278791169689,0.6084649822870668,20,-0.304077087308789,0.5264976305719399
FPN,Lp,0.10169961825666538,0.6524652904229682,0.4571849536788292,20,-0.33424018476172657,0.5017924983745388
FPN,sigma,-0.07688595521792724,0.7337958963567732,-0.34486528261517574,20,-0.48284268553360044,0.3562712995011237
SAL,E.global,-0.2630566805403232,0.2368894479384201,-1.2193710225482652,20,-0.6163118763558747,0.17832977180115628
SAL,E.local,-0.31464002538476266,0.15381946535970717,-1.4824026137559336,20,-0.6500201227916537,0.12332855809237536
SAL,density,-0.2670475744590512,0.22958840993383858,-1.23927954483249,20,-0.6189668455579491,0.17417066249991806
SAL,strength,-0.18925045101181012,0.3989431570259564,-0.8619298091966486,20,-0.5657203072368598,0.2525052890191827
SAL,Cp,-0.4101393168463157,0.0579847652240488,-2.0111324154086856,20,-0.7091268286654786,0.01386698392985213
SAL,Lp,0.18402286820257957,0.41233211738097275,0.8372742872712623,20,-0.25756924170715484,0.5620261791888391
SAL,sigma,-0.28451373442227773,0.1993836527441526,-1.3272361651624143,20,-0.6304924698433263,0.15578119552309733
SUB,E.global,0.0030602190971244737,0.9892162713007806,0.013685779937837041,20,-0.4190889422862928,0.42412145843056076
SUB,E.local,-0.2519858172873584,0.2579277266355907,-1.1644919075229194,20,-0.6089046323746962,0.18978529587825985
SUB,density,-0.38251788799425457,0.07892359036627794,-1.8514806475704502,20,-0.6924525863329336,0.04660699879741915
SUB,strength,-0.3586524579331439,0.10119344073568987,-1.7182561325531898,20,-0.6777740732846026,0.07417153373449278
SUB,Cp,-0.06337208077493979,0.7793453305048558,-0.28397936814594565,20,-0.47235991871562816,0.3680705503486523
SUB,Lp,0.061334474134514476,0.7862783357050023,0.27481350702099555,20,-0.36983765357866055,0.4707692369855013
SUB,sigma,-0.003993507385414869,0.9859277887124305,-0.017859650379194167,20,-0.42488657424064663,0.41831926214005594
VAN,E.global,-0.1757009298990968,0.43414463368079526,-0.7981751858277414,20,-0.5561141136997221,0.2655809564658051
VAN,E.local,-0.1838515967544964,0.41277489308222326,-0.8364677552660273,20,-0.5619048926912101,0.2577347427587806
VAN,density,-0.2632827873060383,0.23647180542008947,-1.2204971429014275,20,-0.616462510313366,0.17809455540000305
VAN,strength,-0.22424064428591217,0.3157457170506893,-1.0290403931178085,20,-0.5900634592480095,0.21797559692312
VAN,Cp,-0.27781538840550885,0.22271703352684655,-1.2605931021905852,19,-0.6335241091059395,0.17483979287261445
