net,metric,f_stat,df_1,df_2,p,p_fdr,P_bonf,diff_t1_t0,diff_t2_t0,diff_t2_t1,p_t1_t0,p_t2_t0,p_t2_t1
CON,CP,7.303,2,33,0.002,0.014,0.133,0.107,-0.015,-0.122,0.012,0.898,0.004
CON,LP,12.053,2,33,0,0.001,0.007,0.316,0.473,0.158,0.008,0,0.258
DAN,EG,5.46,2,33,0.009,0.036,0.501,0.071,-0.122,-0.193,0.457,0.114,0.007
DMN,CP,18.473,2,33,0,0,0,0.093,0.062,-0.031,0,0.001,0.136
FPN,LP,6.966,2,33,0.003,0.015,0.168,-0.628,-0.342,0.286,0.002,0.121,0.222
FPN,Sigma,6.814,2,33,0.003,0.016,0.187,-0.758,-0.24,0.518,0.003,0.495,0.048
SAL,CP,7.19,2,33,0.003,0.014,0.143,0.196,0.109,-0.087,0.002,0.103,0.231
SUB,D,16.644,2,33,0,0,0.001,0.172,0.079,-0.093,0,0.033,0.01
SUB,EG,17.71,2,33,0,0,0,0.303,0.232,-0.072,0,0,0.379
SUB,EL,13.955,2,33,0,0,0.002,0.316,0.129,-0.187,0,0.097,0.01
SUB,LP,12.528,2,33,0,0.001,0.005,0.302,0.286,-0.016,0,0.001,0.969
SUB,S,9.734,2,33,0,0.003,0.027,0.892,0.372,-0.52,0,0.175,0.039
SUB,Sigma,18.146,2,33,0,0,0,-4.824,-4.643,0.181,0,0,0.978
WB,CP,5.514,2,33,0.009,0.036,0.481,0.033,0.021,-0.012,0.007,0.104,0.479
