net,metric,t,df,mean_diff,d,p,p_fdr,P_bonf
CON,CP,-4.81767550026591,22,-0.186048887275595,-1.00455478405507,8.20016068476156E-05,0.000280366439998,0.004592089983466
DAN,CP,0.427593371934327,22,0.020013802622498,0.089159381403575,0.673103518751478,0.71120371792609,1
DMN,CP,-4.90917529275853,22,-0.040434341387563,-1.02363380967301,6.56593342243752E-05,0.000262637336898,0.003676922716565
FPN,CP,-1.43939060256187,22,-0.018700421022559,-0.300133688092448,0.164117710371594,0.204235372906872,1
SAL,CP,-4.70774811754266,22,-0.171326786471714,-0.981633340257703,0.000107155447072,0.000333372502002,0.006000705036036
SUB,CP,-1.46495576156373,22,-0.036678273417404,-0.305464392241997,0.157078749741288,0.199918408761639,1
VAN,CP,-4.23533640162586,21,-0.237247474747475,-0.902976754833627,0.000370125884068,0.000942138613992,0.020727049507825
WB,CP,6.09654716757333,22,0.014186064384004,1.27121796041787,3.89306391899978E-06,2.72514474329985E-05,0.000218011579464
CON,D,-7.02297842262752,22,-0.055478260869565,-1.46439223072966,4.7786713186745E-07,3.8229370549396E-06,2.67605593845772E-05
DAN,D,-4.9704830616883,22,-0.031826086956522,-1.03641736318855,5.65888648904176E-05,0.000243767417989,0.003168976433863
DMN,D,-4.81471211422413,22,-0.020304347826087,-1.00393687535094,8.25945830207015E-05,0.000280366439998,0.004625296649159
FPN,D,-2.81131651265188,22,-0.011217391304348,-0.586200015364585,0.010170655667396,0.017798647417943,0.569556717374178
SAL,D,-1.21254669567764,22,-0.016086956521739,-0.252833463766064,0.238163979556361,0.283769847982047,1
SUB,D,-12.4168322500842,22,-0.087521739130435,-2.5890885010713,2.05778690055199E-11,5.76180332154558E-10,1.15236066430912E-09
VAN,D,-1.73400288499089,22,-0.012086956521739,-0.361564595537153,0.096910686305213,0.146675633326809,1
WB,D,12.7498170897035,22,0.003869565217391,2.65852063979441,1.23064072935081E-11,5.76180332154558E-10,6.89158808436454E-10
CON,EG,-4.67544728982893,22,-0.134288899506291,-0.974898152093417,0.00011593010595,0.000341688733327,0.006492085933208
DAN,EG,-4.05295258034714,22,-0.048339920948617,-0.845099032492194,0.000530083276793,0.001290637543496,0.029684663500413
DMN,EG,-3.4102591152174,22,-0.033798858716006,-0.711088181192355,0.002509105143464,0.004845168552896,0.14050988803398
FPN,EG,0.546301749345643,22,0.005903726708075,0.113911789163162,0.590356445642323,0.635768479922501,1
SAL,EG,0.238979796807675,22,0.006057592118973,0.049830732302831,0.813333444437201,0.843456905342282,1
SUB,EG,-5.3623577077468,22,-0.109560970430536,-1.11812887539526,2.20097840301461E-05,0.000102712325474,0.001232547905688
VAN,EG,-5.95700569536884,22,-0.074677938808374,-1.24212155210449,5.38763952269348E-06,3.35230903634261E-05,0.000301707813271
WB,EG,0.737896775519236,22,0.001923254631159,0.153862113781997,0.468375665812689,0.514294848735501,1
CON,EL,-8.17032713734722,22,-0.19458986493148,-1.70363097569857,4.15366653039884E-08,4.65210651404671E-07,2.32605325702335E-06
DAN,EL,-0.748010740178036,22,-0.023482652613087,-0.155971021196622,0.462375486025959,0.514294848735501,1
DMN,EL,-0.923515881517504,22,-0.011100957181058,-0.192566372907024,0.36575721176532,0.42671674705954,1
FPN,EL,-3.81202031864563,22,-0.049650009410879,-0.794861183116057,0.000952878243036,0.002052353138847,0.053361181610019
SAL,EL,-1.48278708088589,22,-0.063110446540398,-0.309182479342321,0.15231551887765,0.19836439667787,1
SUB,EL,-5.74475870963277,22,-0.130769230769231,-1.19786499623835,8.86745890012885E-06,4.96577698407216E-05,0.000496577698407
VAN,EL,-3.56928404103851,22,-0.136473429951691,-0.744247170420412,0.001713671540857,0.003554281714371,0.095965606288016
WB,EL,1.6977952683077,22,0.009025843276067,0.354014785560054,0.103648793377273,0.152745590240192,1
CON,LP,-1.65743976108471,22,-0.158063304657925,-0.345600080617477,0.111623721940386,0.15627321071654,1
DAN,LP,-1.28261204260706,22,-0.093723949907112,-0.267443098526759,0.212977752400523,0.259277263791941,1
DMN,LP,7.02960439092806,22,0.234213593201632,1.4657738406274,4.70936442348538E-07,3.8229370549396E-06,2.63724407715181E-05
FPN,LP,1.73950236178283,22,0.152972998911617,0.362711315718045,0.095920715245956,0.146675633326809,1
SAL,LP,4.64936410312931,22,0.199214084513502,0.969459431702005,0.000123540749494,0.000345914098582,0.006918281971646
SUB,LP,1.82428387829093,22,0.202563463134551,0.380389483955602,0.081722069419299,0.130755311070878,1
VAN,LP,-5.37460190298261,22,-0.33187151013238,-1.12068196659046,2.13739281399251E-05,0.000102712325474,0.001196939975836
WB,LP,0.000265933670859,22,8.84763562514696E-06,5.5451003556484E-05,0.999790212351364,0.999790212351364,1
CON,S,-3.92161227775093,22,-0.247255279503106,-0.817712686254266,0.00073003178056,0.001703407487974,0.04088177971138
DAN,S,-1.61673805130678,22,-0.079264822134387,-0.33711318745201,0.120185156262868,0.16415533538343,1
DMN,S,-2.86265826860621,22,-0.458585907046477,-0.596905511524064,0.009047126542718,0.016343196335232,0.506639086392187
FPN,S,-1.6671129493039,22,-0.113238260869565,-0.347617079791065,0.109666366935571,0.15627321071654,1
SAL,S,-1.51284119431653,22,-0.162917391304348,-0.315449195194316,0.144553826522002,0.192738435362669,1
SUB,S,-4.80236933035273,22,-0.466044147157191,-1.00136322700417,8.5111240713607E-05,0.000280366439998,0.004766229479962
VAN,S,-0.756170644760582,22,-0.032923671497585,-0.157672478919413,0.457568156238479,0.514294848735501,1
WB,S,3.51994104352625,22,0.465898418972332,0.733958444206325,0.001929502571004,0.003859005142009,0.108052143976245
CON,Sigma,-2.87879394122343,22,-0.234934078706107,-0.600270031845261,0.008719176019341,0.016275795236103,0.488273857083085
DAN,Sigma,0.160377774224633,22,0.043532606923686,0.033441077620227,0.874046986172779,0.889938749557739,1
DMN,Sigma,11.7485031472649,22,0.372216289064375,2.44973224979963,5.96460535316009E-11,1.11339299925655E-09,3.34017899776965E-09
FPN,Sigma,1.95612795281098,22,0.167733871928502,0.407880873901046,0.063264823954284,0.104200886512938,1
SAL,Sigma,-3.83499748303237,22,-0.175302230312192,-0.799652253084852,0.000901169596889,0.00201861989703,0.050465497425757
SUB,Sigma,4.55270354953145,22,1.44174525791656,0.949304313006114,0.00015639513192,0.00041705368512,0.008758127387524
VAN,Sigma,-2.01164495604363,20,-1.29116678043481,-0.438976918211717,0.057926398287718,0.098299342548855,1
WB,Sigma,-9.5429452967765,22,-1.0329610602525,-1.98984164693607,2.80819724182858E-09,3.93147613856001E-08,1.57259045542401E-07
