net,metric,t,df,meanCtrl,meanUsr,d,p,p_fdr,P_bonf
SAL,CP,13.0,51.3,0.635,0.417,3.5,7.8E-18,4.8E-17,4.3E-16
SUB,CP,-6.1,52.0,0.493,0.629,-1.7,1.3E-07,2.3E-07,7.4E-06
VAN,CP,-14.3,26,0.000,0.602,-3.8,7.6E-14,2.6E-13,4.2E-12
CON,D,12.7,44.1,0.203,0.140,3.5,2.2E-16,1.2E-15,1.2E-14
DAN,D,-6.2,51.7,0.161,0.195,-1.7,9.3E-08,1.7E-07,5.1E-06
DMN,D,-6.8,51.8,0.090,0.101,-1.9,9.3E-09,2.0E-08,5.1E-07
FPN,D,12.2,46.7,0.139,0.108,3.3,3.8E-16,1.9E-15,2.1E-14
SAL,D,30.5,34.8,0.246,0.115,8.3,1.1E-26,2.1E-25,6.2E-25
SUB,D,-2.5,48.6,0.224,0.238,-0.7,1.6E-02,2.0E-02,8.9E-01
VAN,D,-18.9,45.8,0.075,0.183,-5.2,2.8E-23,3.1E-22,1.5E-21
WB,D,-19.9,51.2,0.029,0.037,-5.4,9.8E-26,1.3E-24,5.4E-24
CON,EG,6.4,46.1,0.309,0.251,1.8,6.1E-08,1.1E-07,3.3E-06
DMN,EG,-11.8,49.7,0.297,0.342,-3.2,5.0E-16,2.3E-15,2.8E-14
FPN,EG,7.0,42.9,0.356,0.304,1.9,1.2E-08,2.4E-08,6.5E-07
SAL,EG,33.4,51.9,0.437,0.232,9.1,9.3E-37,5.1E-35,5.1E-35
SUB,EG,3.7,47.4,0.395,0.360,1.0,5.1E-04,6.7E-04,2.8E-02
VAN,EG,-15.8,45.5,0.110,0.278,-4.3,4.6E-20,3.2E-19,2.5E-18
WB,EG,-11.9,42.6,0.221,0.243,-3.2,4.1E-15,1.8E-14,2.3E-13
CON,EL,8.1,51.8,0.404,0.273,2.2,8.0E-11,1.8E-10,4.4E-09
DMN,EL,-5.7,51.6,0.467,0.516,-1.5,6.7E-07,1.1E-06,3.7E-05
FPN,EL,4.8,49.7,0.309,0.242,1.3,1.4E-05,2.1E-05,7.6E-04
SAL,EL,19.6,41.1,0.585,0.272,5.3,1.7E-22,1.6E-21,9.5E-21
SUB,EL,-9.5,51.3,0.401,0.624,-2.6,6.6E-13,1.8E-12,3.6E-11
VAN,EL,-14.3,26,0.000,0.285,-3.9,8.1E-14,2.6E-13,4.5E-12
WB,EL,-4.3,51.7,0.511,0.532,-1.2,8.0E-05,1.2E-04,4.4E-03
CON,LP,-7.2,33.5,1.773,2.167,-2.0,2.3E-08,4.4E-08,1.3E-06
DMN,LP,9.6,51.7,2.893,2.646,2.6,3.8E-13,1.1E-12,2.1E-11
FPN,LP,-12.1,34.8,2.282,2.977,-3.3,4.6E-14,1.8E-13,2.5E-12
SAL,LP,-9.5,44.8,1.856,2.197,-2.6,2.4E-12,6.1E-12,1.3E-10
SUB,LP,8.6,48.6,2.227,1.759,2.4,2.1E-11,5.1E-11,1.2E-09
VAN,LP,-4.1,50.1,1.438,1.583,-1.1,1.3E-04,1.8E-04,7.1E-03
WB,LP,15.3,51.9,4.319,3.951,4.2,7.8E-21,6.1E-20,4.3E-19
CON,S,4.9,48.8,0.932,0.685,1.3,1.3E-05,2.0E-05,7.0E-04
DAN,S,-2.8,46.6,0.659,0.831,-0.8,7.1E-03,9.0E-03,3.9E-01
FPN,S,4.1,45.2,1.247,1.010,1.1,1.5E-04,2.0E-04,8.1E-03
SAL,S,10.7,34.5,1.573,0.701,2.9,1.7E-12,4.5E-12,9.5E-11
VAN,S,-8.3,48.0,0.220,0.542,-2.3,6.8E-11,1.5E-10,3.7E-09
WB,S,-6.7,45.8,2.980,3.906,-1.8,2.2E-08,4.4E-08,1.2E-06
DAN,Sigma,-4.0,49.8,1.128,2.257,-1.1,2.1E-04,2.8E-04,1.1E-02
DMN,Sigma,-10.1,50.1,1.637,2.092,-2.8,9.9E-14,3.0E-13,5.5E-12
FPN,Sigma,-5.6,32.1,1.333,1.837,-1.5,3.7E-06,6.0E-06,2.0E-04
SAL,Sigma,-4.8,32.6,1.123,1.358,-1.3,3.0E-05,4.4E-05,1.6E-03
SUB,Sigma,-10.4,47.8,2.269,4.388,-2.8,7.1E-14,2.6E-13,3.9E-12
WB,Sigma,30.7,52.0,4.315,2.955,8.4,5.6E-35,1.5E-33,3.1E-33
